rate_id,checkpoint_profile,base_lambda,model_id,num_h5,total_points,total_bits,bpp,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611
R01,32k8k,32768,RWT287,32,2104286,4305440,2.046033666526318,8.409920086433117e-05,5.299520215545796e-05,4.591062803787129e-05,40.752081309780706,42.75763446846912,43.38086766229485,41.331373748681024
R01,32k8k,32768,RWT296,32,2896904,1012480,0.34950416030355164,5.8836562195571554e-05,1.8686259503352543e-05,1.0713921882178355e-05,42.303527109123976,47.28477624230128,49.70051524498773,43.85080676775411
R01,32k8k,32768,RWT323,32,1833437,2622144,1.4301794934868228,9.154471007332128e-05,2.6921995654827518e-05,2.5160795539579494e-05,40.383667464179084,45.698927501777995,45.9927563139102,41.74921107509534
R01,32k8k,32768,RWT339,16,1598356,3351272,2.096699358590952,9.887306767960328e-05,3.417898851119526e-05,2.075017828231007e-05,40.049219910218106,44.662407938828764,46.829781675451,41.47343863444855
R01,32k8k,32768,RWT380,16,1376586,4612944,3.3510031338398036,9.518796633577562e-05,3.1858774874217815e-05,2.797725905108725e-05,40.21417951660705,44.96770928961659,45.53194835851953,41.4730918434723
R01,32k8k,32768,RWT391,16,1175911,3331976,2.8335273672922527,5.927004791374517e-05,1.7032690833404905e-05,1.200443472723701e-05,42.27164721678364,47.687167365479404,49.206582854713155,43.8154541901118
R01,32k8k,32768,RWT405,8,483584,825200,1.7064253573319217,7.92417875e-05,1.528705e-05,1.33365e-05,41.01045736406704,48.15676313955218,48.74958130698771,42.871136078867764
R01,32k8k,32768,RWT438,64,4357239,5794424,1.3298384596300548,5.808472254865982e-05,2.6687095350450145e-05,2.1188823459259403e-05,42.35938080781715,45.736986926762945,46.73893157462739,43.32902541853665
R01,32k8k,32768,RWT449,32,3114413,8519464,2.735495902438116,8.633720100641759e-05,1.9101677595103793e-06,1.18797471571561e-06,40.63802034984497,57.18928489385657,59.25192802572034,45.033666877330845
R01,32k8k,32768,RWT453,32,2002771,1874528,0.9359672174202642,7.055282004298046e-05,1.485416980148504e-05,8.90721265746808e-06,41.514856225244,48.28151615870369,50.50258178888691,43.48415441238183
R01,32k8k,32768,RWT463,16,1551288,4223432,2.7225325020241247,9.506392367232907e-05,4.591203519494768e-05,4.180023261103032e-05,40.219842645828685,43.380734553423466,43.78821301444922,41.0610004303556
R01,32k8k,32768,RWT499,16,1596325,1796176,1.1251944309586082,5.3184860113448086e-05,1.3279535856357572e-05,8.366534774178192e-06,42.74211978700417,48.768171040753344,50.774543795292345,44.49942919475884
R01,32k8k,32768,RWT529,8,663415,837152,1.2618828335204961,7.598267250047106e-05,2.6102317087343522e-05,1.9771655040811558e-05,41.19285435290436,45.833209388846385,47.03956975349584,42.50373815747105
R01,32k8k,32768,RWT535,64,3331913,10912752,3.275221171741279,9.625978383715302e-05,3.192914329032601e-05,2.188904547252585e-05,40.16555117917719,44.95812734115597,46.59773176534096,41.568645772695014
R01,32k8k,32768,RWT541,16,1350922,1292880,0.9570352692457448,9.826586306322643e-05,1.8378482300976665e-05,1.742214006219456e-05,40.07597327113043,47.356903556009286,47.58898499149432,41.92521602178577
