model_id,step1763_bpp,step1763_y_psnr,step1763_u_psnr,step1763_v_psnr,step1763_yuv_psnr_611,step3525_bpp,step3525_y_psnr,step3525_u_psnr,step3525_v_psnr,step3525_yuv_psnr_611,delta_bpp_3525_minus_1763,delta_y_psnr_3525_minus_1763,delta_u_psnr_3525_minus_1763,delta_v_psnr_3525_minus_1763,delta_yuv611_3525_minus_1763,quadrant
RWT405,1.7083609052408681,41.335401591401265,47.865536351967236,48.19312257812448,43.00888355981241,1.6063724192694548,40.486265343789746,47.840390829162665,48.31983777429146,42.38472758327408,-0.1019884859714133,-0.8491362476115185,-0.025145522804571385,0.1267151961669768,-0.6241559765383329,worse_quality_lower_rate
RWT43,1.8178808737245116,41.55885819205772,46.362941086363506,47.7138453802272,42.928741952367126,1.761069006781013,40.84633128880103,46.888929012923136,48.19334817245671,42.520033114773256,-0.05681186694349849,-0.7125269032566877,0.5259879265596297,0.47950279222951053,-0.40870883759387056,worse_quality_lower_rate
RWT438,1.4302708664821921,43.03238198925883,45.678651832919705,46.61997145988281,43.81161440354444,1.4010119711128997,42.7341648943058,45.73780501997352,46.80376611394199,43.61832006246879,-0.029258895369292492,-0.2982170949530314,0.059153187053816225,0.18379465405917728,-0.19329434107564936,worse_quality_lower_rate
RWT449,2.8345758895817608,41.230439996615935,55.682502376135844,58.3619160965699,45.178382306550176,2.740777154475017,40.76852941419582,54.58831904099337,58.9503869845882,44.76873531384456,-0.09379873510674397,-0.46191058242011707,-1.0941833351424748,0.5884708880182998,-0.40964699270561766,worse_quality_lower_rate
RWT45,0.3991368023015145,43.15201783017062,51.061912989608906,51.629999254847256,45.200502403184984,0.3781408029607214,42.84686046579778,51.13583762405915,51.64243898290847,44.982429925219286,-0.020995999340793103,-0.3051573643728389,0.07392463445024333,0.012439728061217181,-0.2180724779656984,worse_quality_lower_rate
RWT453,0.9860218667036821,42.041861431842435,48.333401419753656,50.581905447028305,43.89580943222957,0.9584161144733971,41.6381971873047,48.539320545836816,50.58263837656245,43.61889275577843,-0.02760575223028494,-0.40366424453773675,0.20591912608315965,0.0007329295341449438,-0.2769166764511368,worse_quality_lower_rate
RWT463,2.7584922980130058,40.78836605669863,43.24348779377155,42.72713515909551,41.337602411632346,2.6651711352115144,40.32588885105133,43.32369371800662,43.18079191659537,41.057477342613744,-0.09332116280149139,-0.46247720564729633,0.08020592423507367,0.4536567574998571,-0.28012506901860235,worse_quality_lower_rate
RWT499,1.1659831174729456,43.05167381166062,48.64200054508015,50.508097800616696,44.68251765195757,1.1028380812177971,42.487141534437654,48.79561093252022,50.70533735222937,44.30297468642194,-0.06314503625514845,-0.5645322772229662,0.15361038744006805,0.19723955161267526,-0.3795429655356273,worse_quality_lower_rate
RWT529,1.276136355071863,41.54892144677859,45.409432307864066,46.452215292338,42.6443970351092,1.2121281550763852,40.909330863795816,45.61593592187592,46.497770546327914,42.19621145637234,-0.0640081999954778,-0.6395905829827768,0.2065036140118579,0.04555525398991023,-0.4481855787368616,worse_quality_lower_rate
RWT535,3.414631774599157,40.67837564721694,45.419807078265606,46.664722739396744,42.01934796262049,3.4054118459875755,40.21670647705864,45.71023160662343,46.861042834153054,41.73393916289105,-0.009219928611581274,-0.4616691701582951,0.29042452835782484,0.19632009475630952,-0.28540879972944566,worse_quality_lower_rate
RWT541,1.0769829790320982,40.8654007548596,47.50189595779045,47.45284966638066,42.51839376916609,0.9509594188265496,40.005808862265866,47.60221705124256,47.52599036246121,41.89538257341237,-0.1260235602055486,-0.859591892593734,0.10032109345210927,0.07314069608055007,-0.623011195753719,worse_quality_lower_rate
RWT65,1.1267404725069365,41.14108281492713,46.48668926268388,48.01569983437767,42.668610748328035,1.0307533740669332,40.44070485206056,46.68323796707429,48.00290729256336,42.16629679650013,-0.0959870984400033,-0.7003779628665683,0.19654870439040906,-0.012792541814313552,-0.5023139518279081,worse_quality_lower_rate
