model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT14,0,RWT14/mesh_P0.h5,50118,32768,1224,432,1864,7072,20488,4,0,31080,59208,90288,0.6201364779121273,1.1813719621692804,1.8015084400814079,0.000493743,1.49434e-05,6.94607e-06,33.065,48.2555,51.5826,37.2785125,9.06366e-05,1.41499e-05,6.69653e-06,40.427,48.4925,51.7415,42.849500000000006,0.0,4.1663898229599
RWT14,1,RWT14/mesh_P1.h5,50119,32768,1200,504,2096,6928,19192,4,0,29920,48384,78304,0.5969791895289212,0.9653823899120094,1.5623615794409307,0.00045708,1.80773e-05,9.5089e-06,33.4001,47.4287,50.2187,37.256,8.64737e-05,1.58113e-05,8.57179e-06,40.6312,48.0103,50.6693,42.808350000000004,0.0,4.286597676575184
RWT14,10,RWT14/mesh_P10.h5,50119,32768,856,360,1600,6464,20048,4,0,29328,56408,85736,0.5851673018216644,1.1254813543765838,1.7106486561982481,0.000401555,1.28291e-05,8.04486e-06,33.9626,48.9181,50.9448,37.9548125,9.23994e-05,1.29328e-05,7.82022e-06,40.3433,48.8831,51.0678,42.7513375,0.0,4.239723056554794
RWT14,11,RWT14/mesh_P11.h5,50119,32768,1144,456,2192,7752,22664,4,0,34208,61128,95336,0.6825355653544564,1.2196572158263332,1.9021927811807897,0.000512648,1.72879e-05,9.42991e-06,32.9018,47.6226,50.2549,36.9110375,9.01577e-05,1.48689e-05,9.00352e-06,40.45,48.2772,50.4559,42.6791375,0.0,4.363352082669735
RWT14,12,RWT14/mesh_P12.h5,50118,32768,1152,592,1904,7064,20024,4,0,30736,50688,81424,0.6132726764834989,1.0113731593439483,1.6246458358274471,0.000390298,1.34887e-05,7.94945e-06,34.086,48.7003,50.9966,38.0266125,8.53389e-05,1.31122e-05,7.84473e-06,40.6885,48.8232,51.0542,43.00104999999999,0.0,4.174585036933422
RWT14,13,RWT14/mesh_P13.h5,50119,32768,1192,496,1920,6976,19240,4,0,29824,48304,78128,0.5950637482790958,0.9637861888704883,1.558849937149584,0.000385553,1.21495e-05,8.19461e-06,34.1392,49.1544,50.8647,38.1067875,8.2808e-05,1.18944e-05,7.98497e-06,40.8193,49.2466,50.9773,43.1424625,0.0,4.182630553841591
RWT14,14,RWT14/mesh_P14.h5,50119,32768,1272,640,2456,8736,25952,4,0,39056,68992,108048,0.7792653484706399,1.3765637782078652,2.1558291266785052,0.000663156,1.86384e-05,1.08958e-05,31.7838,47.2959,49.6274,35.9532625,8.65606e-05,1.4941e-05,9.14557e-06,40.6268,48.2562,50.3879,42.8006125,0.0,4.337076388299465
RWT14,15,RWT14/mesh_P15.h5,50119,32768,1168,656,2560,8768,24592,4,0,37744,63640,101384,0.7530876513896926,1.2697779285300983,2.0228655799197908,0.000665182,1.71158e-05,1.94737e-05,31.7706,47.666,47.1055,35.6743875,8.08841e-05,1.36665e-05,1.54942e-05,40.9214,48.6434,48.0983,42.783762499999995,0.0,4.350832089781761
RWT14,16,RWT14/mesh_P16.h5,50118,32768,1072,456,1776,6816,21312,4,0,31432,56888,88320,0.6271599026297937,1.135081208348298,1.7622411109780918,0.000422582,1.57035e-05,1.02155e-05,33.7409,48.04,49.9074,37.5491,9.38602e-05,1.30419e-05,9.59528e-06,40.2752,48.8466,50.1794,42.584649999999996,0.0,4.148343965411186
RWT14,17,RWT14/mesh_P17.h5,50119,32768,920,344,1800,6192,17568,4,0,26824,42600,69424,0.5352062092220515,0.8499770546100281,1.3851832638320796,0.000296954,1.22035e-05,1.05505e-05,35.2731,49.1351,49.7673,38.817625,8.81424e-05,1.19762e-05,1.01536e-05,40.5482,49.2168,49.9338,42.804975,0.0,4.136743314564228
