endpoint,rate_id,checkpoint_profile,base_lambda,model_id,num_h5,total_points,total_bits,bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv_psnr_611
Full,Canonical_Full,32k8k,32768,RWT65,32,1890004,2129544,1.1267404725069365,7.689386989355577e-05,41.14108281492713,2.2455931442261493e-05,46.48668926268388,1.5791741146632498e-05,48.01569983437767,42.668610748328035
Full,Canonical_Full,32k8k,32768,RWT115,32,2206378,1163856,0.5274961951215975,5.029077629209501e-05,42.985116605259975,1.738064944824051e-05,47.59933999664253,1.4474391098075672e-05,48.3939969691368,44.2380045746674
Full,Canonical_Full,32k8k,32768,RWT144,64,4126571,6369880,1.5436254459210808,7.300260606489024e-05,41.36661636052154,4.455652882102356e-05,43.51088650253428,4.3343299177137614e-05,43.630780344122954,41.91767062622331
Full,Canonical_Full,32k8k,32768,RWT158,32,2881477,3118568,1.0822810662726094,8.079878860247712e-05,40.92595150453179,2.245628365963011e-05,46.48662114488596,1.3182440266845792e-05,48.80004187896216,42.60529650637986
Full,Canonical_Full,32k8k,32768,RWT166,16,951094,1239216,1.3029374593888723,9.040025540756223e-05,40.43830342512046,0.00010186835832872461,39.91960692708057,8.703667781018492e-05,40.60297694349022,40.39405055266169
Full,Canonical_Full,32k8k,32768,RWT182,32,2854013,1809144,0.6338948000587243,5.464231582319351e-05,42.62470902885801,1.4525889901507107e-05,48.37857251882536,1.4859926511417434e-05,48.2798333833889,44.05083250942029
Full,Canonical_Full,32k8k,32768,RWT226,32,1792507,2715176,1.5147366230647914,7.09744858720217e-05,41.488977447514216,9.27300568066401e-06,50.32779474167181,7.924995469869853e-06,51.01000977363975,43.783958650049605
Full,Canonical_Full,32k8k,32768,RWT285,32,2860405,4179816,1.461267198176482,9.140858201904978e-05,40.390130280238445,1.670101880044959e-05,47.772570350848945,8.985950288602489e-06,50.46435988307577,42.57221398941942
Full,Canonical_Full,32k8k,32768,RWT287,32,2104286,4510960,2.1437009988186015,7.738386552664416e-05,41.1134957992673,5.447916417787316e-05,42.637695640123425,5.52941943783307e-05,42.57320465111488,41.48648438585526
Full,Canonical_Full,32k8k,32768,RWT296,32,2896904,1192152,0.41152623628535845,5.190834557044348e-05,42.8476281279091,1.8032990776221787e-05,47.43932239450966,1.0249758070274332e-05,49.89286385338456,44.302244376918594
