dataset,sample,method,endpoint,operating_point,physical_bpp,Y,U,V,YUV611,pending_sample,source_artifact
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,0.08737921674618075,38.3593,49.5319,50.7941,41.310225,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R07/aggregate/aggregate.json
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,0.07535251061798935,37.28,49.6582,50.2319,40.4462625,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R08/aggregate/aggregate.json
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,0.0682388306043347,36.2236,47.7503,50.2544,39.41828749999999,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R09/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,0.5043011051528442,43.1544,45.4783,42.4625,43.358399999999996,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R01/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,0.3810772307617899,42.0138,44.9051,41.8487,42.354575000000004,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R02/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,0.28705171179762123,40.7241,44.2114,40.9521,41.1885125,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R03/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,0.3315451313756354,40.5418,42.8598,38.7921,40.612837500000005,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R04/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,0.25831824316105695,39.6222,42.5699,38.177,39.810012500000006,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R05/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,0.18403164406419337,37.8544,40.9994,35.9771,38.0128625,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R06/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,0.14896012260306285,37.0029,40.8882,35.4595,37.2956375,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R07/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,0.12371474864170402,36.2274,41.025,34.9211,36.663812500000006,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R08/aggregate/aggregate.json
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,0.10854962179221798,35.4529,40.7772,34.3165,35.9763875,False,n30_main:results/Original_Unicorn/CTC/redandblack_viewdep_vox12/R09/aggregate/aggregate.json
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,0.4192621535456702,42.6941,51.0238,51.8738,44.882775,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R01/aggregate/aggregate.json
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,0.32900373186357784,41.3573,50.683,51.5572,43.798,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R02/aggregate/aggregate.json
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,0.25997600052377035,39.7551,50.3627,51.2819,42.5219,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R03/aggregate/aggregate.json
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,0.2990648600588642,40.3203,50.3016,51.982,43.02567500000001,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R04/aggregate/aggregate.json
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,0.23064886047468186,38.8538,49.9867,51.4478,41.81966249999999,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R05/aggregate/aggregate.json
