dataset,sample,method,endpoint,metric,operating_point,physical_bpp,quality,pareto_retained,dominating_points
8iVFB,redandblack,Ours,Ours Full,YUV611,2k,0.21092503408381516,36.7176,True,[]
8iVFB,redandblack,Ours,Ours Full,YUV611,32k,1.1902582979077223,45.087424999999996,True,[]
8iVFB,redandblack,Ours,Ours Full,YUV611,4k,0.3282921401996328,38.377674999999996,True,[]
8iVFB,redandblack,Ours,Ours Full,YUV611,512,0.09256543894542762,33.970437499999996,True,[]
8iVFB,redandblack,Ours,Ours Full,YUV611,8k,0.4506956001852998,39.566375,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R01,0.7289161328116751,42.9022,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R02,0.5585428582184593,41.2367,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R03,0.4211438713569389,39.3686,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R04,0.29351449970663607,37.6659,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R05,0.19456225421016243,35.4964,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R06,0.12936292743214295,33.6042,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R07,0.08751518468153717,31.8715,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R08,0.054144235881115534,29.9106,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,R09,0.037168611254706906,28.4515,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R01,0.7289161328116751,44.8988,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R02,0.5585428582184593,43.3628875,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R03,0.4211438713569389,41.6277375,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R04,0.29351449970663607,40.52883750000001,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R05,0.19456225421016243,38.683912500000005,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R06,0.12936292743214295,36.9732125,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R07,0.08751518468153717,35.5327375,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R08,0.054144235881115534,33.9249875,True,[]
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,R09,0.037168611254706906,32.7237875,True,[]
8iVFB,soldier,Ours,Ours Base,Y,16k,0.3020353671089009,37.5321,True,[]
8iVFB,soldier,Ours,Ours Base,Y,1k,0.1122477368741455,32.9555,True,[]
8iVFB,soldier,Ours,Ours Base,Y,2k,0.17032185556578835,34.5814,True,[]
8iVFB,soldier,Ours,Ours Base,Y,32k,0.39337025097076367,38.7975,True,[]
8iVFB,soldier,Ours,Ours Base,Y,4k,0.27468044451749213,37.1159,True,[]
8iVFB,soldier,Ours,Ours Base,Y,512,0.08337962576130002,31.7325,True,[]
8iVFB,soldier,Ours,Ours Base,Y,8k,0.2258911330641792,36.0651,True,[]
8iVFB,soldier,Ours,Ours Base,YUV611,16k,0.3020353671089009,40.549875,True,[]
8iVFB,soldier,Ours,Ours Base,YUV611,1k,0.1122477368741455,36.5140875,True,[]
8iVFB,soldier,Ours,Ours Base,YUV611,2k,0.17032185556578835,38.097025,True,[]
8iVFB,soldier,Ours,Ours Base,YUV611,32k,0.39337025097076367,41.76325,True,[]
8iVFB,soldier,Ours,Ours Base,YUV611,4k,0.27468044451749213,39.831812500000005,True,[]
8iVFB,soldier,Ours,Ours Base,YUV611,512,0.08337962576130002,35.459075,True,[]
8iVFB,soldier,Ours,Ours Base,YUV611,8k,0.2258911330641792,39.1333375,True,[]
8iVFB,soldier,Ours,Ours Full,Y,16k,0.538180923357185,40.5835,True,[]
8iVFB,soldier,Ours,Ours Full,Y,1k,0.12246543218151651,33.3844,True,[]
8iVFB,soldier,Ours,Ours Full,Y,2k,0.20586709466885686,35.7074,True,[]
8iVFB,soldier,Ours,Ours Full,Y,32k,1.1656032416024005,45.8462,True,[]
8iVFB,soldier,Ours,Ours Full,Y,4k,0.2813355357816748,37.2169,True,[]
8iVFB,soldier,Ours,Ours Full,Y,512,0.08523071074868858,31.8147,True,[]
8iVFB,soldier,Ours,Ours Full,Y,8k,0.37705572812556526,38.5452,True,[]
8iVFB,soldier,Ours,Ours Full,YUV611,16k,0.538180923357185,42.8560875,True,[]
8iVFB,soldier,Ours,Ours Full,YUV611,1k,0.12246543218151651,36.8492375,True,[]
8iVFB,soldier,Ours,Ours Full,YUV611,2k,0.20586709466885686,38.9445375,True,[]
8iVFB,soldier,Ours,Ours Full,YUV611,32k,1.1656032416024005,47.034287500000005,True,[]
8iVFB,soldier,Ours,Ours Full,YUV611,4k,0.2813355357816748,39.878175,True,[]
8iVFB,soldier,Ours,Ours Full,YUV611,512,0.08523071074868858,35.5334625,True,[]
8iVFB,soldier,Ours,Ours Full,YUV611,8k,0.37705572812556526,40.982925,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R01,2.0668874151439303,39.8194,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R02,1.6267705040771638,37.982,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R03,1.2736815395170056,36.08,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R04,1.169536710137618,33.4922,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R05,0.9557235360272166,32.3484,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R06,0.6722499115022069,30.5079,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R07,0.5724356785509543,29.6301,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R08,0.4872923434528863,28.794,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,R09,0.42649858873430924,28.0081,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R01,2.0668874151439303,40.746125,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R02,1.6267705040771638,39.2019375,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R03,1.2736815395170056,37.587875000000004,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R04,1.169536710137618,35.418,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R05,0.9557235360272166,34.4863375,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R06,0.6722499115022069,32.751575,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R07,0.5724356785509543,32.1218375,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R08,0.4872923434528863,31.517387499999998,True,[]
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,R09,0.42649858873430924,30.9264625,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,Y,16k,1.5845171153165403,37.3597,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,Y,1k,0.6694380311825499,30.0707,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,Y,2k,1.0581291096652121,32.4007,True,[]
