configuration,dataset,endpoint,lambda,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,B_unpool,4096.0,8.0,700286.25,109536.0,0.1573977401573724,0.0003678133496690465,34.581428178094384,3.765933678374167e-05,44.2901902945282,1.9762335181145966e-05,47.20254887842602,37.37266353019007,12106.0,2588.0,8622.0,25134.0,61086.0,128978.0
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,Official_Full,4096.0,8.0,700286.25,238514.0,0.3441410386387768,0.00010054826631571509,40.01706832174643,3.107981472487742e-05,45.10994498293489,1.5432701380062953e-05,48.17326251075222,41.67320217802071,12106.0,2588.0,8622.0,25134.0,61086.0,128978.0
DIAGNOSTIC_8k256_L8192,8i,B_native,8192.0,14.0,877508.25,190588.0,0.21709797341298187,0.0010343818924871458,30.991075688015183,0.00013460065029015987,42.015473501120354,0.0002949438402312637,40.37312774874358,33.54188192224437,17688.0,570.0,10522.0,38242.0,123566.0,228654.0
DIAGNOSTIC_8k256_L8192,8i,B_unpool,8192.0,14.0,877508.25,190588.0,0.21709797341298187,0.0012135708777331528,30.227584139023087,0.0002346509240111886,37.058876522163445,0.00032700308059962254,39.934950401115316,32.29491646967716,17688.0,570.0,10522.0,38242.0,123566.0,228654.0
DIAGNOSTIC_8k256_L8192,8i,Official_Full,8192.0,14.0,877508.25,419242.0,0.4780408993096193,0.0001725865555867151,38.386470500450294,6.395431589183696e-05,44.58652584299495,0.000142507806308117,42.802790621301604,39.71351743337479,17688.0,570.0,10522.0,38242.0,123566.0,228654.0
DIAGNOSTIC_8k256_L8192,Owlii,B_native,8192.0,8.0,700286.25,97576.0,0.13958666882805382,0.0006954788308266177,31.718350618238727,5.554453179233247e-05,42.69551465274949,3.064547557978265e-05,45.53405181323548,34.817458771927164,12106.0,536.0,5700.0,20576.0,58658.0,73688.0
DIAGNOSTIC_8k256_L8192,Owlii,B_unpool,8192.0,8.0,700286.25,97576.0,0.13958666882805382,0.0007815414026108207,31.318176729466092,0.00021928643431404297,36.62413709142605,3.0210235990764535e-05,45.509528377983955,33.75534073077582,12106.0,536.0,5700.0,20576.0,58658.0,73688.0
DIAGNOSTIC_8k256_L8192,Owlii,Official_Full,8192.0,8.0,700286.25,171264.0,0.2462766082097697,0.00012518533665567246,39.12574511268753,3.512607622023466e-05,44.58550349703151,1.8820534118269618e-05,47.40849156224647,40.843558216925395,12106.0,536.0,5700.0,20576.0,58658.0,73688.0
DIAGNOSTIC_8k256_L8192,RWTT_Train,B_native,8192.0,20.0,1280449.6666666667,213328.0,0.15473732597761114,0.0017735807971613088,31.040308001747558,0.00011610563294327631,42.99880664372616,4.676107332142267e-05,47.61320294889145,34.606732200387874,19682.666666666668,1816.0,13424.0,42821.333333333336,135584.0,276728.0
DIAGNOSTIC_8k256_L8192,RWTT_Train,B_unpool,8192.0,20.0,1280449.6666666667,213328.0,0.15473732597761114,0.002043203938487727,29.03656157269903,0.00026819669940522054,35.79880559182032,4.5555431788398026e-05,45.80249466357349,31.9775837114485,19682.666666666668,1816.0,13424.0,42821.333333333336,135584.0,276728.0
