configuration,point,profile,lambda,dataset,sequence,block,source,points,released_sha256,base_sha256,stage,stage_index,stage_bits,cumulative_bits,mse_Y,mse_U,mse_V,psnr_Y,psnr_U,psnr_V,yuv611,x_mean,x_std,x_rms,x_l2,x_zero_fraction,f_mean,f_std,f_rms,f_l2,f_zero_fraction,d_mean,d_std,d_rms,d_l2,d_zero_fraction,f4_mean,f4_std,f4_rms,f4_l2,f4_zero_fraction,f5p_mean,f5p_std,f5p_rms,f5p_l2,f5p_zero_fraction,cB_mean,cB_std,cB_rms,cB_l2,cB_zero_fraction,FB_mean,FB_std,FB_rms,FB_l2,FB_zero_fraction,run
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,base_features,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0033894465304911,0.0512641817331314,0.0513761080801487,70.80813598632812,0.0,0.0011149501660838,0.0583161152899265,0.0583267733454704,152.808837890625,0.0,-0.0025201628450304,0.0736762136220932,0.0737193077802658,193.13536071777344,0.0,-0.0020095286890864,0.043287381529808,0.043333999812603,113.52965545654295,0.0,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,x_low,0.0,1072.0,1072.0,1.2261699566806783e-06,1.5634022929589264e-06,1.1544622111614444e-06,59.11449432373047,58.05929565429688,59.37620544433594,59.01530456542969,0.4712541401386261,0.1065068989992141,0.4831399619579315,6.0921630859375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r1,1.0,384.0,1456.0,0.0002941284328699,0.0005897810915485,0.0016742704901844,35.314632415771484,32.293094635009766,27.76174545288086,33.992828369140625,0.4704995155334472,0.1061282083392143,0.4823203980922699,13.02265167236328,0.0,-0.0093024503439664,0.0603944323956966,0.061106652021408,10.776968955993652,0.0,-0.0006489764200523,0.111040212213993,0.1110421046614646,19.58374786376953,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r2,2.0,1880.0,3336.0,0.0002993128437083,0.0007956725894473,0.0012076267739757,35.238746643066406,30.992658615112305,29.18067169189453,33.95072555541992,0.4683661460876465,0.1149146854877471,0.4822574555873871,26.268648147583008,0.0,-0.0121559761464595,0.0710757821798324,0.0721077993512153,25.65578842163086,0.0,-0.0009869222994893,0.172471597790718,0.1724744141101837,61.36600112915039,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r3,3.0,5936.0,9272.0,0.000254873157246,0.0003875787078868,0.0006667043780907,35.93675994873047,34.11640167236328,31.760665893554688,35.18720245361328,0.4681816399097442,0.12087232619524,0.4835329949855804,51.72220993041992,0.0,-0.0093133468180894,0.0679603666067123,0.0685955509543418,47.928218841552734,0.0,-0.001682149246335,0.1560515016317367,0.1560605615377426,109.04066467285156,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r4,4.0,17056.0,26328.0,0.0002315942401764,0.000155511253979,0.0003394103550817,36.35272216796875,38.08238220214844,34.6927490234375,36.36143493652344,0.4685609042644501,0.1235583052039146,0.4845781624317169,102.05175018310548,0.0,-0.0071875685825943,0.0604767389595508,0.0609023571014404,83.77897644042969,0.0,-0.0013661253033205,0.1240867674350738,0.1240942776203155,170.70755004882812,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r5,5.0,39840.0,66168.0,0.00020184458117,0.0001017057729768,0.0001350352540612,36.9498291015625,39.926544189453125,38.69552993774414,37.540130615234375,0.4684836268424988,0.1249245256185531,0.484853595495224,194.4674072265625,0.0,-0.0050212000496685,0.0525805354118347,0.0528197400271892,138.38111877441406,0.0,-0.0002623157342895,0.0916980952024459,0.0916984751820564,240.238525390625,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,base_features,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0071875685825943,0.0604767389595508,0.0609023571014404,83.77897644042969,0.0,0.0052106343209743,0.0780295431613922,0.078203335404396,204.8829345703125,0.0,-0.0023012380115687,0.1069345399737358,0.1069593057036399,280.2200012207031,0.0,-0.0035876533947885,0.0473092384636402,0.047445073723793,124.30016326904295,0.0,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,4,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,x_low,0.0,1328.0,1328.0,1.2408216889525647e-06,1.2533635072031757e-06,9.7611894034344e-07,59.06291198730469,59.01923370361328,60.104976654052734,59.18770980834961,0.4699907004833221,0.0848516672849655,0.477588802576065,6.920919418334961,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,4,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r1,1.0,360.0,1688.0,0.0003001481236424,0.0004627708985935,0.0008017487707547,35.226646423339844,33.34634017944336,30.959617614746094,34.458229064941406,0.4701073467731476,0.0842625051736831,0.4775992929935455,13.053409576416016,0.0,-0.0060702697373926,0.0571406036615371,0.0574621334671974,10.258560180664062,0.0,-0.0002939361147582,0.1072176173329353,0.1072180271148681,19.141345977783203,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
