run,configuration,point,profile,lambda,dataset,sequence,endpoint,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Longdress,Canonical_Base,16.0,857966.0,164904.0,0.19220342064837068,0.0018345115780776858,27.364795429544312,0.00041750636808976114,33.79336895976423,0.0007094116061120137,31.491017106636644,28.68414483045834,19568.0,184.0,9856.0,32960.0,102336.0,137120.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Longdress,Official_Full,16.0,857966.0,302024.0,0.35202327364953856,0.0007447975407825018,31.279617660040934,0.00031166766358200674,35.063082546894805,0.0005279028594550367,32.77445985579681,31.93940604536715,19568.0,184.0,9856.0,32960.0,102336.0,137120.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Loot,B_unpool,16.0,805285.0,51768.0,0.064285315136877,0.0015143701113518816,28.197679704937077,0.0013200968257176032,28.79394213239103,7.849393488143948e-05,41.051638992965934,29.87895741937243,14384.0,128.0,3264.0,11176.0,22816.0,6568.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Loot,B_native,16.0,805285.0,51768.0,0.064285315136877,0.0008467139734491516,30.72263272941486,7.885498019570711e-05,41.03170872998193,4.797279006351789e-05,43.19005022539873,33.56969441648373,14384.0,128.0,3264.0,11176.0,22816.0,6568.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Loot,Canonical_Base,16.0,805285.0,51768.0,0.064285315136877,0.0003352730807653191,34.74601314881348,1.764290125803908e-05,47.534299964858356,2.030413513449276e-05,46.92415504785953,37.866816738199844,14384.0,128.0,3264.0,11176.0,22816.0,6568.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Loot,Official_Full,16.0,805285.0,58336.0,0.0724414337781034,0.000308469507828036,35.10787759463859,1.847415709258213e-05,47.33435367731048,2.1592814539436347e-05,46.656907453786324,38.07981583736605,14384.0,128.0,3264.0,11176.0,22816.0,6568.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Redandblack,B_unpool,8.0,757691.0,89136.0,0.11764162435610295,0.001448806207213759,28.38989702014188,0.0011565454140394962,29.36837309128108,0.00104444145005233,29.811159009511712,28.68986427770551,14888.0,128.0,6440.0,20992.0,46688.0,28440.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Redandblack,B_native,8.0,757691.0,89136.0,0.11764162435610295,0.0008670209659716164,30.619704004526383,0.00014806023306202662,38.29561571329121,0.0009256223239386505,30.33566179719167,31.543687692205147,14888.0,128.0,6440.0,20992.0,46688.0,28440.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Redandblack,Canonical_Base,8.0,757691.0,89136.0,0.11764162435610295,0.00038672128575897033,34.12601923005163,0.00011458581873309831,39.40869127805443,0.0008326007741867067,30.79563189624045,34.37005481932558,14888.0,128.0,6440.0,20992.0,46688.0,28440.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Redandblack,Official_Full,8.0,757691.0,117576.0,0.1551767145181875,0.0002987282410190962,35.2472371834334,0.00010941055453647991,39.60940780782725,0.0008129770307341648,30.899217244752105,35.249006019147465,14888.0,128.0,6440.0,20992.0,46688.0,28440.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Soldier,B_unpool,16.0,1089091.0,127456.0,0.1170297064248993,0.0016401965119627285,27.851041160082165,0.0011501855993429383,29.392320741970394,6.228043471546455e-05,42.0564836473159,29.81938141872241,21912.0,144.0,7320.0,27736.0,70344.0,18080.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Soldier,B_native,16.0,1089091.0,127456.0,0.1170297064248993,0.0012363224046659097,29.07868260388842,7.491573209998064e-05,41.25426972063268,4.4700712065015684e-05,43.49685558670211,32.402902616333165,21912.0,144.0,7320.0,27736.0,70344.0,18080.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Soldier,Canonical_Base,16.0,1089091.0,127456.0,0.1170297064248993,0.0005175165009957847,32.860757981857006,2.109267214328279e-05,46.75868397805787,1.8732072895616622e-05,47.27414160835374,36.399671684694205,21912.0,144.0,7320.0,27736.0,70344.0,18080.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,8i,Soldier,Official_Full,16.0,1089091.0,145536.0,0.13363070670862215,0.00044612520765390586,33.50543236889072,2.2029534955205766e-05,46.56994670734831,1.931466633436508e-05,47.14112789998876,36.84295860258518,21912.0,144.0,7320.0,27736.0,70344.0,18080.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Basketball,B_unpool,8.0,796217.0,51032.0,0.06409308015277242,0.001722605093159277,27.638142730564002,0.0014024213108989132,28.53121497416627,8.734171145617338e-05,40.58778302354113,29.368481797636427,13976.0,104.0,3920.0,11672.0,21360.0,8368.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Basketball,B_native,8.0,796217.0,51032.0,0.06409308015277242,0.0008042024810346928,30.94634591394741,0.00010522345822206761,39.7788742899694,5.03024480988223e-05,42.98410878364795,33.555132319662725,13976.0,104.0,3920.0,11672.0,21360.0,8368.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Basketball,Canonical_Base,8.0,796217.0,51032.0,0.06409308015277242,0.0003031816086544246,35.182971470444414,4.494633266961143e-05,43.47305738109314,2.303457396827749e-05,46.37619815750664,37.61838554515828,13976.0,104.0,3920.0,11672.0,21360.0,8368.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Basketball,Official_Full,8.0,796217.0,59400.0,0.07460277788592808,0.0002593018639843158,35.86194361305492,4.5393593445505435e-05,43.43005436296988,2.41580128398414e-05,46.16938792243989,38.09638799546741,13976.0,104.0,3920.0,11672.0,21360.0,8368.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Dancer,B_unpool,8.0,702038.0,53112.0,0.07565402442602823,0.0020074117147504834,26.97363545745329,0.0014619333296488222,28.3507243259419,0.00010403475267222001,39.828215609645355,28.752594085038375,12728.0,248.0,3712.0,12304.0,24120.0,11960.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Dancer,B_native,8.0,702038.0,53112.0,0.07565402442602823,0.0010479624444246609,29.796542807791845,0.00010311122093390955,39.866940706572194,6.546963665129237e-05,41.83960069354109,32.560724780858045,12728.0,248.0,3712.0,12304.0,24120.0,11960.0
