configuration,point,profile,lambda,dataset,sequence,physical_bpp_B_native,physical_bpp_B_unpool,physical_bpp_Canonical_Base,physical_bpp_Official_Full,yuv611_B_native,yuv611_B_unpool,yuv611_Canonical_Base,yuv611_Official_Full,gain_native_db,gain_synthesis_db,native_r5_gap_db,canonical_to_full_gap_db,r5_delta_bpp
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,Owlii,Basketball,0.12888948615766807,0.12888948615766807,,0.20195499468109823,35.67570258680404,34.47257646815026,,41.81011862456342,1.2031261186537847,,6.1344160377593795,,0.07306550852343016
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,Owlii,Dancer,0.1494733903292984,0.1494733903292984,,0.2545503234867628,34.684927348968166,33.70907614200571,,41.252563689292494,0.975851206962453,,6.567636340324327,,0.10507693315746441
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,Owlii,Exercise,0.1122617746673177,0.1122617746673177,,0.16941570368992537,35.93450916606497,35.02299654434793,,40.86832130370696,0.9115126217170371,,4.9338121376419934,,0.05715392902260767
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,Owlii,Model,0.16772202415793114,0.16772202415793114,,0.3591854109812924,32.97469598587148,31.816713768599385,,39.4432292501387,1.1579822172720924,,6.468533264267222,,0.19146338682336128
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,RWTT_Train,train_high,0.22587681335041374,0.22587681335041374,,0.5248702034745879,27.904344693086664,27.459113804534738,,32.599278204126946,0.44523088855192583,,4.694933511040283,,0.29899339012417414
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,RWTT_Train,train_low,0.00929577596135464,0.00929577596135464,,0.00951213029753384,44.54432192227652,37.69653288026679,,52.385223910285255,6.84778904200973,,7.8409019880087385,,0.000216354336179201
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,RWTT_Train,train_typical,0.22903938862106502,0.22903938862106502,,0.5294414946793149,31.37152998580043,30.777104449543966,,35.218674460915736,0.5944255362564625,,3.847144475115307,,0.3004021060582499
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,RWTT_Val,val28,0.2017922707972145,0.2017922707972145,,0.5087482548721358,29.22580810465244,28.612902183551764,,33.07704642484698,0.6129059211006762,,3.8512383201945433,,0.3069559840749213
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0.4903784066035251,0.4903784066035251,0.4903784066035251,1.1460034546823534,32.21978544905488,31.388575952755826,33.494028660392814,38.191578855656026,0.8312094962990564,1.2742432113379323,5.971793406601144,4.6975501952632115,0.6556250480788284
R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,0.14052167866035006,0.14052167866035006,0.14052167866035006,0.25968445953916935,40.19976708016218,39.54436854272905,40.58562922142267,42.640093959968304,0.655398537433129,0.385862141260489,2.440326879806122,2.054464738545633,0.11916278087881929
R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,0.2474887520110441,0.2474887520110441,0.2474887520110441,0.5059793504212139,37.07039384434694,36.307769391014226,37.55330499935762,40.23300297112361,0.7626244533327124,0.48291115501068305,3.1626091267766725,2.6796979717659895,0.2584905984101698
R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,0.23419163320604064,0.23419163320604064,0.23419163320604064,0.42976023123871193,38.413903910098284,37.50944143927569,39.14524059042504,41.62635999039187,0.9044624708225939,0.7313366803267556,3.2124560802935846,2.481119399966829,0.1955685980326713
R03_32k8k_L8192,8K,32k8k,8192,Owlii,Basketball,0.1344256653650952,0.1344256653650952,0.1344256653650952,0.27533197608189725,39.073543959396545,38.28321719927348,40.200786653979534,42.57181840106897,0.7903267601230652,1.1272426945829892,3.4982744416724216,2.3710317470894324,0.14090631071680204
