configuration,point,profile,lambda,dataset,sequence,block,source,points,released_sha256,base_sha256,endpoint,physical_bits,physical_bpp,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,run
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,5,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,59848,1.116088245715458,1360,392,1848,6144,17432,32672,0.00018424,7.65975e-05,8.87555e-05,37.3462,41.1579,40.518,38.2191375,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,6,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,26816,0.5000839192137702,1232,400,1840,6336,17008,31560,0.000842641,0.000220506,0.000287768,30.7436,36.5658,35.4096,32.054625,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,6,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,26816,0.5000839192137702,1232,400,1840,6336,17008,31560,0.000664825,0.000190776,0.000227728,31.7729,37.1948,36.4258,33.03225,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,6,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,26816,0.5000839192137702,1232,400,1840,6336,17008,31560,0.00045143,0.000184606,0.00020684,33.4541,37.3376,36.8437,34.3632375,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,6,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,58376,1.0886373384555137,1232,400,1840,6336,17008,31560,0.000175009,8.29631e-05,9.97549e-05,37.5694,40.8111,40.0107,38.279775,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,7,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,28472,0.5309661898812077,1080,352,1768,6608,18664,36136,0.000986302,0.000187803,0.000156062,30.0599,37.263,38.067,31.961175,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,7,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,28472,0.5309661898812077,1080,352,1768,6608,18664,36136,0.000770731,0.000164123,0.000132186,31.131,37.8483,38.7881,32.9278,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,7,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,28472,0.5309661898812077,1080,352,1768,6608,18664,36136,0.000580994,0.000151136,0.000126755,32.3583,38.2063,38.9703,33.9158,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,7,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,64608,1.2048561251701695,1080,352,1768,6608,18664,36136,0.000195253,7.90825e-05,6.86823e-05,37.094,41.0192,41.6315,38.151837500000006,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,8,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,26920,0.5020327477527881,1288,344,1912,6168,17208,34088,0.000971568,0.000171432,0.000229152,30.1253,37.6591,36.3988,31.8512125,full_88blocks_v2
