run,configuration,point,profile,lambda,dataset,sequence,stage,stage_index,num_blocks,points,stage_bits,cumulative_bits,stage_bpp,cumulative_bpp,mse_Y,psnr_Y,mse_U,psnr_U,mse_V,psnr_V,yuv611,x_rms,f_rms,d_rms
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,r3,3.0,16.0,1089091.0,63880.0,112720.0,0.05865441914403847,0.1034991566361305,0.00023768692479527524,36.23994708240041,1.4749555970853972e-05,48.31221053740772,1.160286850351095e-05,49.35434629631626,39.388279916015804,0.4752828785674519,0.043757440712488424,0.07821627794962166
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,r4,4.0,16.0,1089091.0,142336.0,255056.0,0.13069247656991015,0.23419163320604064,0.00016887951809140136,37.724230189859504,1.4731928259010712e-05,48.317404047228834,1.1250153016985803e-05,49.488415705321174,40.51890011146338,0.4754340665735155,0.04218056434702986,0.06613491520150842
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,r5,5.0,16.0,1089091.0,212992.0,468048.0,0.1955685980326713,0.42976023123871193,0.00011542510733521705,39.3769971292089,1.5620416404570665e-05,48.063073930069365,1.2025781397508777e-05,49.198866949457454,41.69049045684753,0.4755694991722709,0.04122252366000598,0.05527348433468777
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Basketball,x_low,0.0,8.0,796217.0,13976.0,13976.0,0.017553003766561125,0.017553003766561125,1.2744248397506654e-06,58.94685772312455,1.2853920893526033e-06,58.90964377182024,1.245711943334276e-06,59.045823717084886,58.95457672845656,0.49374694569328365,,
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Basketball,r1,1.0,8.0,796217.0,2640.0,16616.0,0.003315679017152359,0.020868682783713486,0.00016751790951439536,37.75938755269026,1.208202928506222e-05,49.178601159393196,9.222962552584522e-06,50.35129554697248,40.760777752813404,0.49291807579618485,0.050635487765664,0.09984460145961212
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Basketball,r2,2.0,8.0,796217.0,8480.0,25096.0,0.010650362903580306,0.031519045687293794,0.00017561387604854352,37.554411714981136,1.826912370606181e-05,47.38282283449263,1.2733097505752856e-05,48.95065935229313,40.20749405958407,0.49231757198463366,0.04631405086117328,0.08870989752358112
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Basketball,r3,3.0,8.0,796217.0,25008.0,50104.0,0.03140852305338871,0.0629275687406825,0.0001389300652917976,38.57203760184661,2.310385288646688e-05,46.363155894670626,1.2404378358795675e-05,49.06424995366743,40.85745393242722,0.4923452052553127,0.04336265551946492,0.07391599078414324
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Basketball,r4,4.0,8.0,796217.0,56928.0,107032.0,0.07149809662441269,0.1344256653650952,9.779062225081885e-05,40.09702790406614,2.703868126713986e-05,45.680144936612585,1.2152980570738891e-05,49.15317196413184,41.92693554064266,0.4923456977568465,0.041815680706023046,0.06295703823939165
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Basketball,r5,5.0,8.0,796217.0,112192.0,219224.0,0.14090631071680207,0.27533197608189725,7.608297388186883e-05,41.187125203182276,3.1015691940401346e-05,45.08418525556696,1.2959733923580822e-05,48.8740391487799,42.635121952930064,0.49242092902972606,0.04092806868799865,0.05502981852388268
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Dancer,x_low,0.0,8.0,702038.0,12728.0,12728.0,0.018130072731105725,0.018130072731105725,1.2872390687959401e-06,58.90340787503649,1.1718886443683698e-06,59.3111365404657,1.4403377504689949e-06,58.41535656539858,58.89336754451041,0.49597798968742257,,
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Dancer,r1,1.0,8.0,702038.0,2768.0,15496.0,0.003942806514747065,0.02207287924585279,0.00020909824470432197,36.796496128945556,1.3328436017971055e-05,48.752208084716884,1.4362423447340745e-05,48.42772273115571,39.74486344869324,0.4957671356850769,0.05446417840389708,0.11731494535952111
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Dancer,r2,2.0,8.0,702038.0,9696.0,25192.0,0.01381121819616602,0.03588409744201881,0.00021265506055207582,36.72324277922017,1.976273978121184e-05,47.041528477352344,1.9401017980222904e-05,47.12175481843247,39.31284249638823,0.49607348694478526,0.048343827859542,0.0993362613039905
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Dancer,r3,3.0,8.0,702038.0,27000.0,52192.0,0.03845945661061082,0.07434355405262963,0.0001716431700503,37.653734731498574,2.2197299787260616e-05,46.53699852523062,1.4500843275062277e-05,48.386067412783156,40.10568429087566,0.49635873827258337,0.0446658775192802,0.08113162691445534
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Dancer,r4,4.0,8.0,702038.0,65216.0,117408.0,0.09289525638213315,0.1672388104347628,0.00011810565999138703,39.27729289142403,2.2403389580784186e-05,46.49686268948692,1.2495776941360216e-05,49.032367358676254,41.399123424588424,0.49656753095200024,0.042534179259086646,0.06755782324147384
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Dancer,r5,5.0,8.0,702038.0,126472.0,243880.0,0.18014979246137675,0.34738860289613954,8.597125359066665e-05,40.65646740546381,2.3901379646804242e-05,46.21577029775676,1.2136841790597098e-05,49.15894309253893,42.41418972788482,0.4967403248572849,0.04122052656643659,0.056916336403219754
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Exercise,x_low,0.0,8.0,645135.0,10016.0,10016.0,0.01552543266138095,0.01552543266138095,1.3207497473246904e-06,58.79179463726772,1.006455072839835e-06,59.972056068192714,1.49394970661658e-06,58.256640226722574,58.87243301481521,0.46535232196872794,,
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Exercise,r1,1.0,8.0,645135.0,1512.0,11528.0,0.002343695505591853,0.017869128166972805,0.0001528409079768064,38.15760390977443,1.990156021018904e-05,47.011128751423186,1.319731204745017e-05,48.79514514387546,40.59398716924316,0.4634320331771793,0.047413121221248765,0.08044155332700907
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Exercise,r2,2.0,8.0,645135.0,5040.0,16568.0,0.007812318351972843,0.025681446518945647,0.0001591193092113631,37.98277115293025,2.330062292478832e-05,46.32632468279478,1.2468203033595705e-05,49.041961342382905,40.4081141178449,0.46322704210787863,0.04428755440193228,0.07664345285171935
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Exercise,r3,3.0,8.0,645135.0,15048.0,31616.0,0.023325350508033204,0.04900679702697885,0.0001278081780607197,38.93441356091469,2.2383434851576042e-05,46.50073268003269,1.1279212076034958e-05,49.47721237496471,41.198053302560695,0.4631121222542608,0.042030489304821186,0.06584022059568384
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Exercise,r4,4.0,8.0,645135.0,40648.0,72264.0,0.06300696753392701,0.11201376456090585,0.0001076925005357647,39.67814538942838,2.5324477243769728e-05,45.96459510725407,1.1867493486023684e-05,49.25640997990453,41.66123467796611,0.46314369196367594,0.04101074869869248,0.05821973308322208
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Exercise,r5,5.0,8.0,645135.0,104760.0,177024.0,0.1623846171731498,0.2743983817340557,0.00010152710085820657,39.934180150692825,2.985556022112695e-05,45.24974775138327,1.381497302743169e-05,48.596499586699466,41.68141603027996,0.4632657467588675,0.0405988597095921,0.053907400380343785
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Model,x_low,0.0,8.0,657755.0,11704.0,11704.0,0.017793859415739903,0.017793859415739903,1.278626578679691e-06,58.93256272173424,1.243396736626872e-06,59.053902767996156,1.3069763910263537e-06,58.83732257361754,58.93582520900239,0.5231738348164431,,
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Model,r1,1.0,8.0,657755.0,3592.0,15296.0,0.005460999916382239,0.02325485933212214,0.00025785404736745947,35.88626047365435,1.8828425318311555e-05,47.25185999907106,2.5040730538627893e-05,46.013530051634106,38.57286911157891,0.5227802761247837,0.054944990516078526,0.1240339901947373
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Model,r2,2.0,8.0,657755.0,12240.0,27536.0,0.018608752499030795,0.04186361183115294,0.000255312938771099,35.92927175424882,2.889300782062374e-05,45.39207244867333,3.272504889251574e-05,44.851196959236105,38.2273624916753,0.5228274318842534,0.05049076343840453,0.10999209179118885
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Model,r3,3.0,8.0,657755.0,36128.0,63664.0,0.054926226330472595,0.09678983816162554,0.00020051124720602234,36.97861261634748,3.2319128486121374e-05,44.90540358874294,2.649161197199578e-05,45.7689161477777,39.0682494293257,0.5233585295925567,0.04707907371257119,0.09347374709865439
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Model,r4,4.0,8.0,657755.0,89400.0,153064.0,0.135916868742921,0.23270670690454653,0.00014383601881742488,38.421323461166295,3.1547136575973236e-05,45.01040054032832,2.0554526575431418e-05,46.870925217075445,40.3011583155502,0.5237044962857189,0.04423721527056141,0.0761339463176504
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,Owlii,Model,r5,5.0,8.0,657755.0,190632.0,343696.0,0.28982219823490507,0.5225289051394516,0.00010606838489325187,39.74414044114186,3.3835165858569084e-05,44.70631690281893,1.8150264362226975e-05,47.41117044995897,41.322791249953625,0.5238537636491238,0.04228327978168544,0.06266213123572012
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Longdress,x_low,0.0,16.0,857966.0,19568.0,19568.0,0.022807430597482883,0.022807430597482883,1.2653443551840656e-06,58.977912680022584,1.258858045343401e-06,59.000232401859314,1.2110363050119152e-06,59.16842837178994,59.00451710672309,0.492178279251851,,
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Longdress,r1,1.0,16.0,857966.0,952.0,20520.0,0.0011096010797630675,0.023917031677245952,0.003373918975863595,24.71865351135708,0.002995357666731573,25.235513123686243,0.0007413845689191382,31.299564575605842,25.60587484592932,0.48361537279977046,0.07735882345104486,0.03757491463945932
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Longdress,r2,2.0,16.0,857966.0,14392.0,34912.0,0.01677455749994755,0.0406915891771935,0.00557014607621884,22.541334153713485,0.0021949325146720052,26.58578828021455,0.0008876007874431929,30.51782321151519,24.043952051751333,0.48814805351553714,0.06495061855972488,0.09009555116432894
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Longdress,r3,3.0,16.0,857966.0,51504.0,86416.0,0.06003035085306411,0.10072194003025761,0.004745494565553664,23.23718519612205,0.0012604457773306586,28.99475832345803,0.0007664034942214542,31.155425238699653,24.946661842361245,0.49109477899546994,0.05449010867859939,0.0745652160170717
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Longdress,r4,4.0,16.0,857966.0,175264.0,261680.0,0.20427849122226288,0.3050004312525205,0.0021131221595602477,26.7507539566449,0.00037135954486190536,34.302054091589575,0.0005061555684712207,32.9571598089781,28.470467205054636,0.4961576704752379,0.04961620950089527,0.058480078830354554
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Longdress,r5,5.0,16.0,857966.0,430880.0,692560.0,0.5022110433280573,0.8072114745805777,0.00036591890049117025,34.36615157698343,0.00015320149305406863,38.1473700218394,0.00025756020945145064,35.891212304056154,35.02943647347452,0.49551734558598604,0.04426784931072471,0.04875567716745374
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Loot,x_low,0.0,16.0,805285.0,14384.0,14384.0,0.017861999167996422,0.017861999167996422,1.278898349760371e-06,58.93163973029192,1.3144322321967781e-06,58.81261799775697,1.373895482166622e-06,58.62046304572547,58.87786492815425,0.4610876930521473,,
