configuration,dataset,stage,lambda,stage_index,num_blocks,points,stage_bits,cumulative_bits,stage_bpp,cumulative_bpp,mse_Y,psnr_Y,mse_U,psnr_U,mse_V,psnr_V,yuv611,x_rms,f_rms,d_rms
DIAGNOSTIC_8k256_L8192,8i,r3,8192.0,3.0,14.0,877508.25,38242.0,67022.0,0.04373438230788894,0.07656198576459766,0.0022618120270123366,27.320596027868636,0.000915511817472775,30.487199908489448,0.00045362779265141386,37.81673716778907,29.02843915543629,0.470438803473315,0.045067057666282544,0.05662611259165192
DIAGNOSTIC_8k256_L8192,8i,r4,8192.0,4.0,14.0,877508.25,123566.0,190588.0,0.1405359876483842,0.21709797341298187,0.0009150129826958063,31.403623908514753,0.0002112469459961027,37.41003025377432,0.00026659827822398443,40.67997482093387,33.31396856572459,0.4774968098496867,0.04492801981157325,0.047581273467884426
DIAGNOSTIC_8k256_L8192,8i,r5,8192.0,5.0,14.0,877508.25,228654.0,419242.0,0.2609429258966374,0.4780408993096193,0.00017188905031474127,38.41018167362371,6.344594829877764e-05,44.70438186145183,0.00014192494497737316,42.93950290537279,39.76312185107086,0.47615876209158625,0.04119463212251341,0.042211750812985796
DIAGNOSTIC_8k256_L8192,8i,x_low,8192.0,0.0,14.0,877508.25,17688.0,17688.0,0.02010953290210553,0.02010953290210553,1.2561622150807828e-06,59.009925208186104,1.278576160444006e-06,58.93333817193062,1.2891265339277523e-06,58.90146184648052,58.98679390844097,0.4752783415040131,,
DIAGNOSTIC_8k256_L8192,Owlii,r1,8192.0,1.0,8.0,700286.25,536.0,12642.0,0.0007637884578074528,0.018014380601504378,0.0023379994821336038,26.51215468503668,0.0020948153586816225,26.788799833661024,4.818397354527485e-05,43.24216041932564,28.637986045400844,0.4836157234097539,0.06856681738658572,0.03842588418626586
DIAGNOSTIC_8k256_L8192,Owlii,r2,8192.0,2.0,8.0,700286.25,5700.0,18342.0,0.008136777304807493,0.026151157906311874,0.0022168073223960234,26.838448604127407,0.0015336963687834675,28.144138107354138,6.220822382682968e-05,42.265339330381444,28.930021132812502,0.48561531772730443,0.04492585887870961,0.05195047045939896
DIAGNOSTIC_8k256_L8192,Owlii,r3,8192.0,3.0,8.0,700286.25,20576.0,38918.0,0.02941444366683622,0.05556560157314809,0.0014049817785225665,28.833173705549555,0.0007633866281893085,31.17916367392162,4.7589564626961e-05,43.588623305061574,30.970853651535066,0.48945759296854446,0.038407851380462515,0.04596536483299665
DIAGNOSTIC_8k256_L8192,Owlii,r4,8192.0,4.0,8.0,700286.25,58658.0,97576.0,0.08402106725490574,0.13958666882805382,0.0005523264879686479,32.79061380558935,0.00020242267800012342,36.97389099084976,2.5234942153097786e-05,46.32306059096456,35.005079301918805,0.49607802879391716,0.04268380979060564,0.04330572112207493
DIAGNOSTIC_8k256_L8192,Owlii,r5,8192.0,5.0,8.0,700286.25,73688.0,171264.0,0.10668993938171589,0.2462766082097697,0.00012446081055872586,39.152002928873884,3.459164833786232e-05,44.653418953482664,1.8249472992772025e-05,47.551612921629946,40.889631181044486,0.4937664180197454,0.04068499430689123,0.041478993810827806
DIAGNOSTIC_8k256_L8192,Owlii,x_low,8192.0,0.0,8.0,700286.25,12106.0,12106.0,0.017250592143696925,0.017250592143696925,1.290258427937777e-06,58.89366127321533,1.1767835621165939e-06,59.311683159603405,1.371742764812518e-06,58.63878956990693,58.91405504610029,0.4945627755273981,,
DIAGNOSTIC_8k256_L8192,RWTT_Train,r1,8192.0,1.0,20.0,1280449.6666666667,1816.0,21498.666666666668,0.0013405988273526217,0.0156674761849274,0.006307390838377304,25.54788776656609,0.002257424624400624,26.487898821298767,8.576653018292869e-05,41.068033603327535,27.605407378002855,0.4791122625371432,0.07304092171916261,0.04502517429679221
DIAGNOSTIC_8k256_L8192,RWTT_Train,r2,8192.0,2.0,20.0,1280449.6666666667,13424.0,34922.666666666664,0.010127789951907173,0.025795266136834572,0.004647043085642737,26.350057049465622,0.0016306874407912512,27.91993875201724,0.0001211851109771515,40.09102516302102,28.263913276479,0.4834075022753371,0.05530087665705304,0.0716829470923076
DIAGNOSTIC_8k256_L8192,RWTT_Train,r3,8192.0,3.0,20.0,1280449.6666666667,42821.333333333336,77744.0,0.031034655182291496,0.056829921319126064,0.0025550877233574136,29.166335165157587,0.0007507996787946342,31.573387242638887,8.388919686889512e-05,42.08670213803521,31.08226254645245,0.48825186929558556,0.044636865407772175,0.05799040984526207
DIAGNOSTIC_8k256_L8192,RWTT_Train,r4,8192.0,4.0,20.0,1280449.6666666667,135584.0,213328.0,0.09790740465848508,0.15473732597761114,0.0012288115243163633,30.518074200607302,0.0002563031149756787,36.05828481040248,4.33965699986062e-05,46.018698909062756,33.14817861538864,0.49749908130326076,0.04449037762623201,0.04793860413929523
DIAGNOSTIC_8k256_L8192,RWTT_Train,r5,8192.0,5.0,20.0,1280449.6666666667,276728.0,490056.0,0.19987061683953442,0.3546079428171455,0.0005692462364133474,37.69888895794159,4.6896981275206354e-05,46.69561463427008,3.23325270868638e-05,49.3196988443191,40.27608090327984,0.4961141142261099,0.04282849942349725,0.04439083146590058
DIAGNOSTIC_8k256_L8192,RWTT_Train,x_low,8192.0,0.0,20.0,1280449.6666666667,19682.666666666668,19682.666666666668,0.014326877357574777,0.014326877357574777,1.627810108231249e-06,58.160264645564126,1.555060799435913e-06,58.25055399611532,1.1252621564588212e-06,59.532272886409,58.343051844488635,0.4905122947949585,,
DIAGNOSTIC_8k256_L8192,RWTT_Val,r1,8192.0,1.0,28.0,2144542.0,2304.0,44104.0,0.0010743552702628346,0.020565696544996553,0.0032302200347160605,24.907678935796444,0.002263744504927008,26.451725908944614,9.967274625201842e-05,40.014235755941144,26.989004409958053,0.4744475845045716,0.06982183918622512,0.03921552897437005
DIAGNOSTIC_8k256_L8192,RWTT_Val,r2,8192.0,2.0,28.0,2144542.0,23616.0,67720.0,0.011012141520194056,0.03157783806519061,0.0034712685912408016,24.595117812635312,0.001653341624826394,27.816374002411663,0.00011658045453803933,39.33374255733185,26.840102929444424,0.4771256712182377,0.04961418457879657,0.06177125663186134
DIAGNOSTIC_8k256_L8192,RWTT_Val,r3,8192.0,3.0,28.0,2144542.0,85976.0,153696.0,0.040090611421925985,0.07166844948711659,0.002746819667010835,25.61169851752674,0.0008500365787964942,30.705623853119842,8.843775591485014e-05,40.533622860635006,28.11367972736441,0.48091213424964285,0.04263018040010819,0.05429128178712104
DIAGNOSTIC_8k256_L8192,RWTT_Val,r4,8192.0,4.0,28.0,2144542.0,279056.0,432752.0,0.13012382131009792,0.2017922707972145,0.0017070860508680394,27.67744586398315,0.00016974845631511569,37.70194166484134,5.6977365028060445e-05,42.44297638989728,30.77619915482969,0.48641239886319165,0.04364565991866334,0.048617770806742205
DIAGNOSTIC_8k256_L8192,RWTT_Val,r5,8192.0,5.0,28.0,2144542.0,658280.0,1091032.0,0.30695598407492136,0.5087482548721358,0.0010587266106225402,29.752161709845133,5.0106395521776116e-05,43.00106837754556,4.854699285225565e-05,43.13837666438143,33.081551912624725,0.48573172594510666,0.041861804462316916,0.04709601716256471
DIAGNOSTIC_8k256_L8192,RWTT_Val,x_low,8192.0,0.0,28.0,2144542.0,41800.0,41800.0,0.01949134127473372,0.01949134127473372,1.2821222972412054e-06,58.9207054698273,1.172454861156417e-06,59.30903868380935,1.1734875194375167e-06,59.30521524956092,59.017310844041766,0.48433869288207193,,
R03_32k8k_L8192,8i,r1,8192.0,1.0,14.0,877508.25,4234.0,21922.0,0.0047469288737429,0.02485646177584843,0.0002081492602339104,36.97945670959563,0.00011684448864429942,43.68862263002589,0.00039040477023876926,39.80227384761544,38.17095459190189,0.47489881505515186,0.05270534166905126,0.0898711865542163
R03_32k8k_L8192,8i,r2,8192.0,2.0,14.0,877508.25,17604.0,39526.0,0.01985937307819369,0.04471583485404212,0.00023788395645164606,36.38138154451123,0.00014604643128908804,43.052204622787045,0.0003982565961021881,39.89936209343867,37.654981997911634,0.4749417369963227,0.052521361199291704,0.10469007906013658
R03_32k8k_L8192,8i,r3,8192.0,3.0,14.0,877508.25,57434.0,96960.0,0.06517015645918808,0.10988599131323021,0.0002071911275031804,36.96538047660967,0.00010023812280585098,43.72791198684689,0.00023749377600496618,41.45103588290499,38.37140384117624,0.4754567524274665,0.051093058662480546,0.09990835201823975
R03_32k8k_L8192,8i,r4,8192.0,4.0,14.0,877508.25,147156.0,244116.0,0.16825912630700976,0.27814511762023997,0.00016138847898856696,38.06471468574485,6.0875079190848116e-05,44.629525642640786,0.00010470304639193534,43.400315869826755,39.55226620336708,0.47591067534664716,0.04824667953706513,0.08436513801227215
R03_32k8k_L8192,8i,r5,8192.0,5.0,14.0,877508.25,266828.0,510944.0,0.3072117563501222,0.5853568739703622,0.00012171327347887823,39.2957434194697,4.1434290516928016e-05,45.30629527772797,5.683150217304805e-05,44.68587704775446,40.720829105287585,0.47626434910865006,0.04471877395267341,0.06545160649482117
R03_32k8k_L8192,8i,x_low,8192.0,0.0,14.0,877508.25,17688.0,17688.0,0.02010953290210553,0.02010953290210553,1.2561613970649208e-06,59.00992804089586,1.278577132115427e-06,58.93333490121712,1.2891265534688062e-06,58.90146175335318,58.98679561249318,0.47527834492292576,,
R03_32k8k_L8192,Owlii,r1,8192.0,1.0,8.0,700286.25,2628.0,14734.0,0.0037657952384683793,0.021016387382165304,0.0001968277773907458,37.14993701626615,1.6035112707883467e-05,48.04844949865108,1.545585714650083e-05,48.39692336840944,39.91812437058218,0.4937243801958062,0.05186444447672209,0.1054087725852199
R03_32k8k_L8192,Owlii,r2,8192.0,2.0,8.0,700286.25,8864.0,23598.0,0.012720662987687491,0.0337370503698528,0.00020067529614577035,37.047424350345096,2.2556373558171428e-05,46.53568711082827,1.93318418530218e-05,47.49139311808615,39.538953291373126,0.4936113832303877,0.047359049140263024,0.09367042586761995
R03_32k8k_L8192,Owlii,r3,8192.0,3.0,8.0,700286.25,25796.0,49394.0,0.03702988912562633,0.07076693949547913,0.0001597231651522099,38.03469962765184,2.5000929002856228e-05,46.07657267216922,1.6169011420472173e-05,48.17411147229825,40.307360238797315,0.4937936488436784,0.04428452401403438,0.0785903963482342
R03_32k8k_L8192,Owlii,r4,8192.0,4.0,8.0,700286.25,63048.0,112442.0,0.09082929732084846,0.1615962368163276,0.00011685620039884886,39.36844741152121,2.6578421166916753e-05,45.78800081842047,1.4267694393388553e-05,48.57821862994702,41.32211298968684,0.4939403542395604,0.04239945598359089,0.06621713522043449
R03_32k8k_L8192,Owlii,r5,8192.0,5.0,8.0,700286.25,133514.0,245956.0,0.1933157296465584,0.35491196646288603,9.241242830599848e-05,40.38047830012019,2.9651949416725404e-05,45.31400505188148,1.4265453275959145e-05,48.51016306949432,42.01337974026212,0.4940701910737506,0.041257683686428195,0.057128921635791585
R03_32k8k_L8192,Owlii,x_low,8192.0,0.0,8.0,700286.25,12106.0,12106.0,0.017250592143696925,0.017250592143696925,1.2902600586377467e-06,58.89365573929075,1.17678313579692e-06,59.3116847871187,1.371743947861551e-06,58.638785770705894,58.91405062419614,0.49456277304146934,,
R03_32k8k_L8192,RWTT_Train,r1,8192.0,1.0,20.0,1280449.6666666667,6293.333333333333,25976.0,0.004576856378563748,0.018903733736138528,0.00019779711665858564,43.42210519001946,6.272115934661029e-05,46.25710332088318,3.2487482515562495e-05,49.26549613487858,44.5069038244848,0.4902865017050361,0.06592418233630601,0.15319833459553128
R03_32k8k_L8192,RWTT_Train,r2,8192.0,2.0,20.0,1280449.6666666667,23320.0,49296.0,0.0169475785731435,0.03585131230928203,0.0001979190661047962,43.23308192814947,8.534370360359829e-05,45.646648477167126,4.3615691330667214e-05,49.2471656042577,44.28653820629021,0.4916777951327235,0.060957835725263386,0.13909967257403452
R03_32k8k_L8192,RWTT_Train,r3,8192.0,3.0,20.0,1280449.6666666667,68290.66666666667,117586.66666666667,0.049410075649277296,0.08526138795855931,0.00015130466160540864,43.70680150862026,5.231186960118323e-05,47.14290062586864,2.9821015981156944e-05,50.94755449152217,45.04140802113904,0.4926473217181524,0.05129446813499675,0.10278857007159414
R03_32k8k_L8192,RWTT_Train,r4,8192.0,4.0,20.0,1280449.6666666667,177592.0,295178.6666666667,0.12825754191484987,0.21351892987340917,0.00012279846124638668,44.04767880887443,3.512612978615306e-05,48.496243948779494,2.1856815055802295e-05,52.236076621906214,45.62729917799154,0.49577828765641857,0.045811303748522415,0.07842623440632453
R03_32k8k_L8192,RWTT_Train,r5,8192.0,5.0,20.0,1280449.6666666667,486517.3333333333,781696.0,0.35170258320472464,0.5652215130781338,0.00012011315883860611,43.929009245217,3.0302460057407408e-05,49.057669461039296,2.0822470962104515e-05,52.14762917053479,45.59741926285952,0.49644181244520863,0.04429896624518353,0.07087520549100773
R03_32k8k_L8192,RWTT_Train,x_low,8192.0,0.0,20.0,1280449.6666666667,19682.666666666668,19682.666666666668,0.014326877357574777,0.014326877357574777,1.6278102081570707e-06,58.16026412030294,1.5550609098742637e-06,58.25055428890499,1.1252617145964356e-06,59.53227497741807,58.34305174851758,0.4905122943540981,,
R03_32k8k_L8192,RWTT_Val,r1,8192.0,1.0,28.0,2144542.0,10728.0,52528.0,0.005002466727161324,0.024493808001895042,0.00022157503514465515,36.544791731389346,4.417686670356475e-05,43.54805090221218,5.398384439685872e-05,42.677361909004496,38.186770399944095,0.48399707627259175,0.05440034697083346,0.11626635535252398
R03_32k8k_L8192,RWTT_Val,r2,8192.0,2.0,28.0,2144542.0,41488.0,94016.0,0.019345855665218962,0.043839663667114004,0.00023811168212875485,36.23219296910968,5.658601569564045e-05,42.472908842996034,6.185476078209754e-05,42.08626868357826,37.74404191765405,0.48453786517801917,0.05120280026820581,0.1120946434236315
R03_32k8k_L8192,RWTT_Val,r3,8192.0,3.0,28.0,2144542.0,140048.0,234064.0,0.06530438667090689,0.1091440503380209,0.00021459096240476422,36.68388572493043,4.719875164497167e-05,43.2606948782502,4.388503234258149e-05,43.57683577239041,38.36760562502789,0.48509252894992244,0.04868062485842883,0.10227103206870007
R03_32k8k_L8192,RWTT_Val,r4,8192.0,4.0,28.0,2144542.0,422816.0,656880.0,0.19715911369420602,0.3063031640322269,0.0001920199360845997,37.16653679202386,4.099059051717965e-05,43.87315825120793,3.426254485787269e-05,44.65180382856638,38.940522853989684,0.48549754711894677,0.046776890716479204,0.0923437357700815
R03_32k8k_L8192,RWTT_Val,r5,8192.0,5.0,28.0,2144542.0,1287224.0,1944104.0,0.6002325904552114,0.9065357544874384,0.00018999751962480254,37.21252068627659,4.087063930733963e-05,43.88588568907483,3.417161449988384e-05,44.66334501686273,38.97804435294964,0.4861307185716748,0.045842601414697814,0.08674214395873561
R03_32k8k_L8192,RWTT_Val,x_low,8192.0,0.0,28.0,2144542.0,41800.0,41800.0,0.01949134127473372,0.01949134127473372,1.282121395123943e-06,58.92070852557859,1.1724547481210732e-06,59.30903910250887,1.1734874123708642e-06,59.305215645802534,59.01731323772287,0.484338696961956,,
R04_8k256_L4096,8i,r1,4096.0,1.0,14.0,877508.25,398.0,18086.0,0.00045894552606994796,0.020568478428175475,0.0021388516812226813,27.012375473066427,0.002337129041324309,26.366343087423054,0.000470209960465597,36.94158042915975,28.17277204437267,0.46398387924010026,0.0708568383614869,0.03884073905793583
R04_8k256_L4096,8i,r2,4096.0,2.0,14.0,877508.25,9196.0,27282.0,0.01054340763206268,0.031111886060238157,0.0028002461702319567,26.236145892260065,0.0016284264749078425,27.94503477306059,0.0005557540444599487,36.497136424802136,27.73238081892789,0.46713946946230583,0.053033690337808324,0.06554896774971036
R04_8k256_L4096,8i,r3,4096.0,3.0,14.0,877508.25,33146.0,60428.0,0.0378864352803846,0.06899832134062275,0.0021576300942046517,27.574189899131433,0.0007739540691273734,31.274595383440317,0.0004563266781283176,37.89093320012608,29.326333497294375,0.4710725851247718,0.044657357412685,0.05601990191693668
R04_8k256_L4096,8i,r4,4096.0,4.0,14.0,877508.25,103468.0,163896.0,0.11749017775351887,0.18648849909414164,0.0009678678361784031,30.832638730991007,0.00035909238570902276,34.63268116219194,0.0002771873540232023,40.2220951263631,32.481326084312634,0.4787454807537571,0.046731101804359784,0.047763975664473504
R04_8k256_L4096,8i,r5,4096.0,5.0,14.0,877508.25,163962.0,327858.0,0.18836120419383479,0.3748497032879764,0.00021714675653489922,37.15421007053324,6.883811730746299e-05,44.112197728260085,0.0001556424207155114,42.387140588751045,38.67807484252632,0.47617965748406826,0.043920067185408154,0.042850606856964756
