dataset,sample,operating_point,base_bpp,full_bpp,delta_bpp,base_Y,full_Y,delta_Y,base_YUV611,full_YUV611,delta_YUV611,pending_sample
CTC,dancer_vox11_00000001,4k,0.11594448845592223,0.1245993648462371,0.00865487639031487,38.7807,39.2548,0.47409999999999997,40.8385,41.185424999999995,0.3469249999999917,False
CTC,dancer_vox11_00000001,512,0.04096024387929764,0.04160820253953512,0.0006479586602374798,34.9537,35.0219,0.06820000000000448,37.5052625,37.553475000000006,0.04821250000000532,False
CTC,dancer_vox11_00000001,8k,0.10298222973374299,0.16366818654112725,0.060685956807384256,38.4442,40.0191,1.5748999999999995,40.6190875,41.8437625,1.2246749999999977,False
CTC,longdress_viewdep_vox12,16k,0.8128671932178383,0.8656945688832676,0.05282737566542928,39.2028,39.7339,0.531099999999995,40.09963750000001,40.5011125,0.4014749999999907,False
CTC,longdress_viewdep_vox12,1k,0.3613578534695984,0.3621846942723833,0.0008268408027848895,34.5946,34.554,-0.04059999999999775,35.5704875,35.545075000000004,-0.02541249999999451,False
CTC,longdress_viewdep_vox12,2k,0.5755535473085363,0.5793776860214165,0.0038241387128802318,37.1543,37.1762,0.02190000000000225,37.9672,37.972925000000004,0.005725000000005309,False
CTC,longdress_viewdep_vox12,32k,1.0460905610308637,1.6458731277385064,0.5997825667076426,40.3728,43.6378,3.2650000000000006,41.197425,43.645875,2.448449999999994,False
CTC,longdress_viewdep_vox12,4k,0.7392680262599471,0.7420922043769593,0.0028241781170121882,38.6427,38.6836,0.0409000000000006,39.4437625,39.464712500000005,0.02095000000000624,False
CTC,longdress_viewdep_vox12,512,0.2881901940556606,0.2882005295656954,1.0335510034820139e-05,33.5618,33.5813,0.01950000000000074,34.64275,34.667587499999996,0.024837499999996737,False
CTC,longdress_viewdep_vox12,8k,0.6232390067316469,0.6421943321354908,0.018955325403843926,37.8061,38.0257,0.2195999999999998,38.765049999999995,38.927262500000005,0.16221250000000964,False
CTC,loot_viewdep_vox12,16k,0.16589748731061202,0.17053742023043894,0.004639932919826922,42.9605,42.9975,0.036999999999999034,45.4498,45.4892375,0.03943749999999824,False
CTC,loot_viewdep_vox12,1k,0.10666012657074157,0.10667073213170118,1.0605560959608962e-05,39.7883,39.6604,-0.1278999999999968,42.556425000000004,42.5003375,-0.05608750000000384,False
CTC,loot_viewdep_vox12,2k,0.15803346385906536,0.158391401541452,0.0003579376823866498,42.6065,42.6071,0.0006000000000057071,44.840712499999995,44.758925000000005,-0.08178749999999013,False
CTC,loot_viewdep_vox12,32k,0.20564447839696945,0.3650115915467051,0.15936711314973565,44.1905,45.1819,0.9913999999999987,46.4641375,47.1572,0.6930625000000035,False
CTC,loot_viewdep_vox12,4k,0.1554510097654017,0.1559415169597834,0.0004905071943817063,41.8243,41.8479,0.02360000000000184,44.495000000000005,44.44005,-0.05495000000000516,False
CTC,loot_viewdep_vox12,512,0.08736861118522116,0.08737921674618075,1.0605560959595084e-05,38.4119,38.473,0.06109999999999616,41.47455,41.6178625,0.1433125000000004,False
CTC,loot_viewdep_vox12,8k,0.13495576321096614,0.13680643359841713,0.0018506703874509867,41.3895,41.3224,-0.06709999999999638,44.211200000000005,44.15265,-0.05855000000000388,False
CTC,redandblack_viewdep_vox12,16k,0.3662643783745349,0.3863931101467678,0.0201287317722329,41.8214,42.0496,0.22820000000000107,42.2133375,42.391225,0.1778874999999971,False
CTC,redandblack_viewdep_vox12,1k,0.18348590739729448,0.18403741905537746,0.0005515116580829815,38.3225,38.0807,-0.2417999999999978,38.4872,38.30655,-0.18064999999999998,False
CTC,redandblack_viewdep_vox12,2k,0.301702864431721,0.30350177418557284,0.0017989097538518295,40.5633,40.3964,-0.16689999999999827,40.665637499999995,40.524075,-0.14156249999999204,False
CTC,redandblack_viewdep_vox12,32k,0.4785735194276117,0.7777902501545713,0.29921673072695953,42.8493,44.9092,2.059899999999999,43.1351875,44.69336249999999,1.5581749999999914,False
CTC,redandblack_viewdep_vox12,4k,0.33315057892481936,0.3349090637403824,0.0017584848155630106,41.1495,41.1733,0.02379999999999427,41.5517,41.565374999999996,0.013674999999999216,False
CTC,redandblack_viewdep_vox12,512,0.14861073563642388,0.14862228561879212,1.1549982368241896e-05,37.4215,37.3452,-0.07630000000000337,37.705375000000004,37.669675,-0.035700000000005616,False
CTC,redandblack_viewdep_vox12,8k,0.2796221856392572,0.2859717884461917,0.006349602806934473,40.6285,40.6779,0.049399999999998556,41.122975,41.16235,0.03937500000000682,False
CTC,soldier_viewdep_vox12,16k,0.3162613194114381,0.3316965510623592,0.015435231650921089,41.202,41.3636,0.16159999999999997,43.68335,43.80941249999999,0.1260624999999962,False
CTC,soldier_viewdep_vox12,1k,0.1750412444143243,0.17556101649426725,0.0005197720799429428,37.29,37.3036,0.013600000000003831,40.519962500000005,40.5525125,0.03254999999999342,False
CTC,soldier_viewdep_vox12,2k,0.2705533623506093,0.2722466198571926,0.0016932575065833344,40.2156,40.2976,0.08200000000000074,42.86401250000001,42.869975000000004,0.00596249999999543,False
CTC,soldier_viewdep_vox12,32k,0.3967720154712159,0.7284725647803438,0.33170054930912796,42.4361,44.2241,1.7879999999999967,44.6871625,45.9842125,1.2970499999999987,False
CTC,soldier_viewdep_vox12,4k,0.29284158896323964,0.2943569244886117,0.0015153355253720857,40.3945,40.4116,0.017099999999999227,42.9864375,42.9359625,-0.050474999999998715,False
CTC,soldier_viewdep_vox12,512,0.14245153500190166,0.14246752798897683,1.5992987075164056e-05,35.9727,35.9907,0.017999999999993577,39.475274999999996,39.546362499999994,0.0710874999999973,False
CTC,soldier_viewdep_vox12,8k,0.25322096260789645,0.25839869217348194,0.005177729565585487,39.686,39.719,0.03300000000000125,42.495012499999994,42.5043375,0.009325000000004025,False
8iVFB,longdress,16k,0.6124158766198194,1.4491483345493876,0.8367324579295682,33.203,38.8745,5.671499999999995,34.275425,39.3999125,5.124487500000001,False
8iVFB,longdress,1k,0.1845760787723523,0.3152479235773912,0.13067184480503888,27.3496,30.7536,3.404,28.7029375,31.505749999999995,2.8028124999999946,False
8iVFB,longdress,2k,0.2602247641514932,0.4435140786464732,0.18328931449497998,28.9507,32.6652,3.7144999999999975,30.108125,32.9171,2.8089749999999967,False
8iVFB,longdress,32k,0.7671073212691412,2.381949867477266,1.6148425462081248,33.8162,44.8822,11.065999999999995,34.8154125,43.870174999999996,9.054762499999995,False
8iVFB,longdress,4k,0.5637892410654968,0.7084476541028433,0.1446584130373465,33.0491,34.4283,1.3791999999999973,34.041287499999996,35.368449999999996,1.3271625,False
8iVFB,longdress,512,0.15555861187972483,0.20191009900159212,0.04635148712186729,27.3239,28.955,1.6311,28.6066,29.914949999999997,1.3083499999999972,False
8iVFB,longdress,8k,0.47525426415498984,1.010268472177219,0.5350142080222292,32.3508,36.5329,4.182099999999998,33.510075,37.298325,3.788249999999998,False
8iVFB,loot,16k,0.18377593026071515,0.33994424334241913,0.15616831308170398,39.1044,41.8131,2.7087000000000003,41.939787499999994,44.0129375,2.0731500000000054,False
8iVFB,loot,1k,0.05988438875677555,0.0638084653259405,0.003924076569164957,34.7983,34.967,0.16870000000000118,38.0207875,38.1459,0.12511250000000018,False
8iVFB,loot,2k,0.10230415318800176,0.12282856380039366,0.020524410612391894,36.6009,37.3577,0.7567999999999984,39.67685,40.2466375,0.5697874999999968,False
8iVFB,loot,32k,0.24322320669079892,0.7977399305835822,0.5545167238927833,40.3484,46.7617,6.4133,43.0396875,47.849175,4.809487500000003,False
8iVFB,loot,4k,0.16402640059109508,0.16589406235059637,0.0018676617595012879,38.4647,38.4809,0.016199999999997772,41.184312500000004,41.169624999999996,-0.014687500000007958,False
8iVFB,loot,512,0.042707861192000346,0.04298602358171331,0.00027816238971296176,33.6449,33.6731,0.028199999999998226,37.038287499999996,37.0677125,0.029425000000003365,False
8iVFB,loot,8k,0.134292828004992,0.23382529166692537,0.09953246366193336,37.6072,39.8468,2.239600000000003,40.595187499999994,42.28295,1.6877625000000052,False
8iVFB,redandblack,16k,0.317702071160935,0.6622330211128283,0.3445309499518933,38.3226,41.1322,2.809599999999996,38.55465,41.2126,2.6579499999999996,False
8iVFB,redandblack,1k,0.11495979231639283,0.1411340506882093,0.026174258371816472,34.1731,34.8692,0.6961000000000013,34.478449999999995,35.0295,0.5510500000000036,False
8iVFB,redandblack,2k,0.16500657919917222,0.21092503408381516,0.04591845488464294,35.7253,36.9345,1.2092000000000027,35.8020375,36.7176,0.9155625000000001,False
8iVFB,redandblack,32k,0.4100880174107915,1.1902582979077223,0.7801702804969308,39.1502,46.2263,7.076100000000004,39.2361625,45.087424999999996,5.851262499999997,False
8iVFB,redandblack,4k,0.2815712473818483,0.3282921401996328,0.04672089281778452,37.8181,38.0405,0.22240000000000038,37.9939375,38.377674999999996,0.3837374999999952,False
8iVFB,redandblack,512,0.08965132224086073,0.09256543894542762,0.002914116704566899,33.5624,33.6595,0.09710000000000463,33.8754625,33.970437499999996,0.09497499999999803,False
8iVFB,redandblack,8k,0.24087919745648292,0.4506956001852998,0.20981640272881688,37.1725,39.2827,2.110199999999999,37.59545,39.566375,1.9709250000000011,False
8iVFB,soldier,16k,0.3020353671089009,0.538180923357185,0.23614555624828415,37.5321,40.5835,3.051400000000001,40.549875,42.8560875,2.306212500000001,False
8iVFB,soldier,1k,0.1122477368741455,0.12246543218151651,0.010217695307371003,32.9555,33.3844,0.4288999999999987,36.5140875,36.8492375,0.3351499999999987,False
8iVFB,soldier,2k,0.17032185556578835,0.20586709466885686,0.035545239103068504,34.5814,35.7074,1.1259999999999977,38.097025,38.9445375,0.8475125000000006,False
8iVFB,soldier,32k,0.39337025097076367,1.1656032416024005,0.7722329906316368,38.7975,45.8462,7.048700000000004,41.76325,47.034287500000005,5.271037500000006,False
8iVFB,soldier,4k,0.27468044451749213,0.2813355357816748,0.006655091264182678,37.1159,37.2169,0.10099999999999909,39.831812500000005,39.878175,0.046362499999993645,False
8iVFB,soldier,512,0.08337962576130002,0.08523071074868858,0.0018510849873885626,31.7325,31.8147,0.08219999999999672,35.459075,35.5334625,0.07438750000000027,False
8iVFB,soldier,8k,0.2258911330641792,0.37705572812556526,0.15116459506138605,36.0651,38.5452,2.4801,39.1333375,40.982925,1.8495874999999984,False
Owlii,basketball_player,16k,0.1771376396133215,0.3289856910867264,0.15184805147340488,39.3337,42.0039,2.6702000000000012,41.2746,43.3815125,2.1069125,False
Owlii,basketball_player,1k,0.06098839889125703,0.0683934153628973,0.007405016471640262,35.2484,35.7023,0.4539000000000044,37.674362499999994,38.01715,0.34278750000000713,False
