sample,history,method,operating_point,endpoint,physical_bits_exact,physical_bits_delta,physical_bits_relative_delta_percent,reconstruction_sha_exact,Y_delta_db,U_delta_db,V_delta_db,YUV611_delta_db,max_metric_abs_delta_db,checkpoint_provenance_exact,chunk_provenance_exact
Shiva_00035_vox12,Shiva retained V100,Ours,16k,Ours Base,True,0,0.0,False,0.0,0.0,9.999999999621423e-05,1.2499999996862243e-05,9.999999999621423e-05,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,16k,Ours Full,False,16,0.0004399897922368201,False,0.0,9.999999999621423e-05,0.00019999999999953388,3.749999999769216e-05,0.00019999999999953388,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,1k,Ours Base,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,1k,Ours Full,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,2k,Ours Base,True,0,0.0,False,0.0,0.0,9.999999999621423e-05,1.2500000000414957e-05,9.999999999621423e-05,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,2k,Ours Full,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,4k,Ours Base,False,8,0.0002655287873034755,False,-0.00010000000000331966,0.0,-0.00019999999999953388,-0.00010000000000331966,0.00019999999999953388,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,4k,Ours Full,False,8,0.0002621871124546744,False,0.0,0.0,-0.00010000000000331966,-1.250000000396767e-05,0.00010000000000331966,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,512,Ours Base,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,512,Ours Full,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,8k,Ours Base,False,8,0.0002862884986458554,False,0.0,-9.999999999621423e-05,0.0,-1.2499999996862243e-05,9.999999999621423e-05,True,True
Shiva_00035_vox12,Shiva retained V100,Ours,8k,Ours Full,True,0,0.0,False,-9.999999999621423e-05,-0.00019999999999953388,0.0,-9.999999999621423e-05,0.00019999999999953388,True,True
