lambda,candidate_name,base_checkpoint,enhancement_checkpoint,dataset,sequence,endpoint,physical_bpp,YUV611,correctness_pass,provenance,point_order,official_interp_YUV611,official_bracket,delta_to_official_curve,lower_neighbor,lower_neighbor_bpp,lower_neighbor_YUV611,upper_neighbor,upper_neighbor_bpp,upper_neighbor_YUV611,rate_between_neighbors,quality_between_neighbors,local_neighbor_RD_residual,dominated_by_lower_neighbor,dominated_by_upper_neighbor,dominated_by_any_selected_point,enhancement_bpp,full_minus_base_YUV611,enhancement_RD_gain,rwtt_available
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,redandblack,Base,0.1650065791991722,35.8020375,True,RETAINED_HARD_EVIDENCE,3,35.52631221728179,R06_to_R05,0.27572528271820573,1K,0.1149597923163928,34.478449999999995,4K,0.2815712473818483,37.9939375,True,True,0.2676045627376453,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,redandblack,Base,0.2815712473818483,37.9939375,True,RETAINED_HARD_EVIDENCE,4,37.411618677594284,R05_to_R04,0.5823188224057176,2K,0.1650065791991722,35.8020375,8K,0.2408791974564829,37.59545,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Base,0.2408791974564829,37.59545,True,RETAINED_HARD_EVIDENCE,5,36.83775537036085,R06_to_R05,0.7576946296391469,4K,0.2815712473818483,37.9939375,16K,0.317702071160935,38.55465,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Base,0.317702071160935,38.55465,True,RETAINED_HARD_EVIDENCE,6,37.852495341385264,R05_to_R04,0.702154658614738,8K,0.2408791974564829,37.59545,32K,0.4100880174107915,39.2361625,True,True,0.2142964588793248,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,redandblack,Base,0.4100880174107915,39.2361625,True,RETAINED_HARD_EVIDENCE,7,39.07084534598898,R04_to_R03,0.16531715401102076,16K,0.317702071160935,38.55465,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Full,0.0663595053920397,33.048775,True,RETAINED_HARD_EVIDENCE,0,33.00102928974221,R09_to_R08,0.047745710257785845,,,,512,0.0925654389454276,33.9704375,,,,False,False,False,1.055839385710744e-05,-0.001212500000001171,-0.0017378423737923754,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Full,0.0925654389454276,33.9704375,True,RETAINED_HARD_EVIDENCE,1,33.91464316152597,R08_to_R07,0.055794338474029814,256,0.0663595053920397,33.048775,1K,0.1411340506882093,35.0295,True,True,0.227485791443101,False,False,False,0.002914116704566899,0.09497500000000514,-0.004854334415576034,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Full,0.1411340506882093,35.0295,True,RETAINED_HARD_EVIDENCE,2,35.05982561932491,R07_to_R06,-0.030325619324912623,512,0.0925654389454276,33.9704375,2K,0.2109250340838151,36.7176,True,True,-0.06822987288136062,False,False,False,0.0261742583718165,0.5510500000000036,-0.016358895084877645,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,redandblack,Full,0.2109250340838151,36.7176,True,RETAINED_HARD_EVIDENCE,3,36.32000359951681,R06_to_R05,0.397596400483188,1K,0.1411340506882093,35.0295,4K,0.3282921401996328,38.377675,True,True,0.439570340178264,False,False,False,0.04591845488464291,0.9155625000000001,0.12187111776498227,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,redandblack,Full,0.3282921401996328,38.377675,True,RETAINED_HARD_EVIDENCE,4,37.98171781180675,R05_to_R04,0.39595718819325043,2K,0.2109250340838151,36.7176,8K,0.4506956001852998,39.566375,True,True,0.26560659980624735,False,False,False,0.04672089281778452,0.3837375000000023,-0.1863616342124672,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Full,0.4506956001852998,39.566375,True,RETAINED_HARD_EVIDENCE,5,39.62045476117575,R04_to_R03,-0.05407976117574975,4K,0.3282921401996328,38.377675,16K,0.6622330211128283,41.2126,True,True,0.14958005801820917,False,False,False,0.2098164027288169,1.9709250000000011,-0.8117743908148967,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Full,0.6622330211128283,41.2126,True,RETAINED_HARD_EVIDENCE,6,41.58720660665761,R03_to_R02,-0.3746066066576077,8K,0.4506956001852998,39.566375,32K,0.957445713358084,42.6237125,True,True,0.36997212339827,False,False,False,0.3445309499518933,2.6579499999999996,-1.0767612652723457,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,redandblack,Full,0.957445713358084,42.6237125,True,RETAINED_HARD_EVIDENCE,7,,OUTSIDE_R01_R09,,16K,0.6622330211128283,41.2126,,,,,,,False,False,False,0.5473576959472926,3.3875500000000045,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,soldier,Base,0.0535492442780263,34.005875,True,RETAINED_HARD_EVIDENCE,0,33.88288572587624,R09_to_R08,0.1229892741237606,,,,512,0.0833796257613,35.459075,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,soldier,Base,0.0833796257613,35.459075,True,RETAINED_HARD_EVIDENCE,1,35.3334939935065,R08_to_R07,0.12558100649349768,256,0.0535492442780263,34.005875,1K,0.1122477368741455,36.5140875,True,True,0.1785346311475351,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,soldier,Base,0.1122477368741455,36.5140875,True,RETAINED_HARD_EVIDENCE,2,36.384076682903284,R07_to_R06,0.1300108170967178,512,0.0833796257613,35.459075,2K,0.1703218555657883,38.097025,True,True,0.17911325194322814,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,soldier,Base,0.1703218555657883,38.097025,True,RETAINED_HARD_EVIDENCE,3,38.047892896575036,R06_to_R05,0.049132103424966544,1K,0.1122477368741455,36.5140875,4K,0.2746804445174921,39.831812500000005,True,True,0.39676041638402637,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,soldier,Base,0.2746804445174921,39.831812500000005,True,RETAINED_HARD_EVIDENCE,4,40.17768408154555,R05_to_R04,-0.34587158154554487,2K,0.1703218555657883,38.097025,8K,0.2258911330641792,39.1333375,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,soldier,Base,0.2258911330641792,39.1333375,True,RETAINED_HARD_EVIDENCE,5,39.26802690316236,R05_to_R04,-0.1346894031623549,4K,0.2746804445174921,39.831812500000005,16K,0.3020353671089009,40.549875,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,soldier,Base,0.3020353671089009,40.549875,True,RETAINED_HARD_EVIDENCE,6,40.60220291007195,R04_to_R03,-0.05232791007195203,8K,0.2258911330641792,39.1333375,32K,0.3933702509707636,41.76325,True,True,0.22085008881578716,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,soldier,Base,0.3933702509707636,41.76325,True,RETAINED_HARD_EVIDENCE,7,41.38860421079137,R04_to_R03,0.37464578920862834,16K,0.3020353671089009,40.549875,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,soldier,Full,0.0535565898533731,33.991125000000004,True,RETAINED_HARD_EVIDENCE,0,33.88340550086543,R09_to_R08,0.1077194991345749,,,,512,0.0852307107486885,35.5334625,,,,False,False,False,7.345575346803801e-06,-0.014749999999999375,-0.015269774989185692,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,soldier,Full,0.0852307107486885,35.5334625,True,RETAINED_HARD_EVIDENCE,1,35.422675811688315,R08_to_R07,0.11078668831168414,256,0.0535565898533731,33.991125000000004,1K,0.1224654321815165,36.8492375,True,True,0.22859897532245554,False,False,False,0.0018510849873885071,0.07438750000000027,-0.014794318181813537,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,soldier,Full,0.1224654321815165,36.8492375,True,RETAINED_HARD_EVIDENCE,2,36.735788237230125,R07_to_R06,0.11344926276987621,512,0.0852307107486885,35.5334625,2K,0.2058670946688568,38.9445375,True,True,0.2629381751202544,False,False,False,0.010217695307370989,0.3351499999999987,-0.016561554326841588,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,soldier,Full,0.2058670946688568,38.9445375,True,RETAINED_HARD_EVIDENCE,3,38.89468672425952,R05_to_R04,0.04985077574048091,1K,0.1224654321815165,36.8492375,4K,0.2813355357816748,39.878175,True,True,0.5052058454318527,False,False,False,0.035545239103068504,0.8475125000000006,0.0007186723155143682,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,soldier,Full,0.2813355357816748,39.878175,True,RETAINED_HARD_EVIDENCE,4,40.30176559368274,R05_to_R04,-0.4235905936827393,2K,0.2058670946688568,38.9445375,8K,0.3770557281255652,40.982925,True,True,0.03501517968246759,False,False,False,0.006655091264182733,0.046362499999993645,-0.07771901213719445,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,soldier,Full,0.3770557281255652,40.982925,True,RETAINED_HARD_EVIDENCE,5,41.24813474892087,R04_to_R03,-0.2652097489208671,4K,0.2813355357816748,39.878175,16K,0.538180923357185,42.8560875,True,True,-0.005047454312759214,False,False,False,0.151164595061386,1.8495874999999984,-0.13052034575851224,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,soldier,Full,0.538180923357185,42.8560875,True,RETAINED_HARD_EVIDENCE,6,43.10574578388132,R03_to_R02,-0.24965828388131683,8K,0.3770557281255652,40.982925,32K,0.7616847444336607,44.370725,True,True,0.4539769646881311,False,False,False,0.23614555624828415,2.306212500000001,-0.1973303738093648,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,soldier,Full,0.7616847444336607,44.370725,True,RETAINED_HARD_EVIDENCE,7,,OUTSIDE_R01_R09,,16K,0.538180923357185,42.8560875,,,,,,,False,False,False,0.36831449346289713,2.607475000000001,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Base,0.0368241321147375,35.8364375,True,RETAINED_HARD_EVIDENCE,0,35.823285964217575,R09_to_R08,0.013151535782427004,,,,512,0.0481577258460947,36.8686875,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Base,0.0481577258460947,36.8686875,True,RETAINED_HARD_EVIDENCE,1,36.77611738006096,R09_to_R08,0.0925701199390403,256,0.0368241321147375,35.8364375,1K,0.060988398891257,37.6743625,True,True,0.17022114345113692,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Base,0.060988398891257,37.6743625,True,RETAINED_HARD_EVIDENCE,2,37.606786531812304,R08_to_R07,0.06757596818769684,512,0.0481577258460947,36.8686875,2K,0.0924973970663776,39.09245,True,True,0.16217971051439406,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,Owlii,basketball_player,Base,0.0924973970663776,39.09245,True,RETAINED_HARD_EVIDENCE,3,39.270121675372415,R07_to_R06,-0.1776716753724159,1K,0.060988398891257,37.6743625,4K,0.1504313522569852,40.594125,True,True,0.3895124382161299,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,Owlii,basketball_player,Base,0.1504313522569852,40.594125,True,RETAINED_HARD_EVIDENCE,4,41.038790723702014,R05_to_R04,-0.4446657237020162,2K,0.0924973970663776,39.09245,8K,0.1317128370783341,40.2528,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Base,0.1317128370783341,40.2528,True,RETAINED_HARD_EVIDENCE,5,40.577793896459305,R06_to_R05,-0.3249938964593042,4K,0.1504313522569852,40.594125,16K,0.1771376396133215,41.2746,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Base,0.1771376396133215,41.2746,True,RETAINED_HARD_EVIDENCE,6,41.53542495204003,R05_to_R04,-0.2608249520400321,8K,0.1317128370783341,40.2528,32K,0.2367595768490248,41.9698,True,True,0.27932682926829244,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,Owlii,basketball_player,Base,0.2367595768490248,41.9698,True,RETAINED_HARD_EVIDENCE,7,42.267394340560706,R04_to_R03,-0.2975943405607069,16K,0.1771376396133215,41.2746,,,,,,,False,False,False,,,,True
