model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT115,3,RWT115/model_mesh_P3.h5,68950,32768,720,16,56,256,832,4,0,1880,1792,3672,0.027266134880348077,0.02598984771573604,0.05325598259608412,1.05503e-05,5.20392e-06,4.19256e-06,49.7674,52.8367,53.7752,50.6520375,7.54622e-06,4.58866e-06,4.63521e-06,51.2227,53.3831,53.3393,51.757325,0.0,5.818818986415863
RWT115,30,RWT115/model_mesh_P30.h5,68949,32768,1664,440,1816,5024,10960,4,0,19904,25440,45344,0.28867713817459284,0.3689683679241178,0.6576455060987106,0.000123602,2.61494e-05,2.55484e-05,39.0797,45.8254,45.9264,40.77875,6.42652e-05,1.88612e-05,1.90747e-05,41.9202,47.2443,47.1954,43.245112500000005,0.0,5.845998741686344
RWT115,31,RWT115/model_mesh_P31.h5,68950,32768,1504,528,2088,6616,14952,4,0,25688,27208,52896,0.3725598259608412,0.3946047860768673,0.7671646120377085,0.000148408,1.84631e-05,1.97026e-05,38.2854,47.3369,47.0548,40.5130125,7.33662e-05,1.40187e-05,1.60998e-05,41.345,48.5329,47.9318,43.0668375,0.0,5.758426405489445
RWT115,4,RWT115/model_mesh_P4.h5,68949,32768,968,168,600,1584,4488,4,0,7808,14848,22656,0.11324312172765377,0.21534757574439078,0.32859069747204456,6.4716e-05,2.10451e-05,1.48799e-05,41.8899,46.7685,48.274,43.2977375,3.63014e-05,1.30398e-05,1.26552e-05,44.4008,48.8473,48.9773,45.528675,0.0,5.799624592065811
RWT115,5,RWT115/model_mesh_P5.h5,68949,32768,1272,256,928,2984,9368,4,0,14808,28208,43016,0.21476743680111388,0.40911398279888034,0.6238814195999942,0.0001373,4.34177e-05,1.7377e-05,38.6233,43.6233,47.6002,40.3704125,7.54202e-05,2.502e-05,1.42044e-05,41.2251,46.0171,48.4758,42.7304375,0.0,5.7907461524009705
RWT115,6,RWT115/model_mesh_P6.h5,68949,32768,1168,232,840,2208,5712,4,0,10160,15712,25872,0.14735529159233637,0.22787857691917215,0.37523386851150853,7.48464e-05,2.54555e-05,2.11741e-05,41.2583,45.9422,46.742,42.529250000000005,3.2537e-05,1.51813e-05,1.43959e-05,44.8762,48.1869,48.4176,45.7327125,0.0,5.893008731305599
RWT115,7,RWT115/model_mesh_P7.h5,68950,32768,1608,560,1504,3672,10288,4,0,17632,28424,46056,0.2557215373459028,0.4122407541696882,0.6679622915155911,0.000124048,3.40268e-05,2.3625e-05,39.0641,44.6818,46.2663,40.666587500000006,6.80806e-05,2.18981e-05,1.86751e-05,41.6698,46.5959,47.2874,42.987762499999995,0.0,5.79545783996582
RWT115,8,RWT115/model_mesh_P8.h5,68949,32768,896,32,168,1408,4856,4,0,7360,19816,27176,0.10674556556295232,0.2874008324993836,0.3941463980623359,7.59883e-05,2.42978e-05,8.94015e-06,41.1925,46.1443,50.4866,42.9732375,4.23176e-05,1.69368e-05,8.7916e-06,43.7348,47.7117,50.5593,45.084975,0.0,5.804605007171631
RWT115,9,RWT115/model_mesh_P9.h5,68949,32768,736,8,32,168,688,4,0,1632,1944,3576,0.023669668885698124,0.02819475264325806,0.051864421528956185,1.08621e-05,5.01934e-06,5.537e-06,49.6409,52.9935,52.5673,50.425775,7.91978e-06,4.00127e-06,5.60652e-06,51.0129,53.978,52.5131,51.571062500000004,0.0,5.788259409368038
RWT14,0,RWT14/mesh_P0.h5,50118,32768,1224,432,1864,7072,20488,4,0,31080,54968,86048,0.6201364779121273,1.0967716189792092,1.7169080968913364,0.000493743,1.49434e-05,6.94607e-06,33.065,48.2555,51.5826,37.2785125,0.000114434,1.38672e-05,6.59713e-06,39.4145,48.5801,51.8064,42.1091875,0.0,4.1881203353405
RWT14,1,RWT14/mesh_P1.h5,50119,32768,1200,504,2096,6928,19192,4,0,29920,44136,74056,0.5969791895289212,0.8806241146072348,1.477603304136156,0.00045708,1.80773e-05,9.5089e-06,33.4001,47.4287,50.2187,37.256,0.000107963,1.51625e-05,8.40988e-06,39.6673,48.1923,50.7521,42.118525,0.0,4.265152737498283
RWT14,10,RWT14/mesh_P10.h5,50119,32768,856,360,1600,6464,20048,4,0,29328,51464,80792,0.5851673018216644,1.0268361300105748,1.6120034318322394,0.000401555,1.28291e-05,8.04486e-06,33.9626,48.9181,50.9448,37.9548125,0.000122593,1.23087e-05,7.77862e-06,39.1153,49.0979,51.091,41.8600875,0.0,4.287579879164696
RWT14,11,RWT14/mesh_P11.h5,50119,32768,1144,456,2192,7752,22664,4,0,34208,58328,92536,0.6825355653544564,1.163790179373092,1.8463257447275485,0.000512648,1.72879e-05,9.42991e-06,32.9018,47.6226,50.2549,36.9110375,0.00011107,1.41513e-05,9.01975e-06,39.5441,48.492,50.4481,42.0255875,0.0,4.330606631934643
RWT14,12,RWT14/mesh_P12.h5,50118,32768,1152,592,1904,7064,20024,4,0,30736,46280,77016,0.6132726764834989,0.9234207270840815,1.5366934035675806,0.000390298,1.34887e-05,7.94945e-06,34.086,48.7003,50.9966,38.0266125,0.000108615,1.25795e-05,7.89418e-06,39.6411,49.0034,51.0269,42.234612500000004,0.0,4.23188117146492
RWT14,13,RWT14/mesh_P13.h5,50119,32768,1192,496,1920,6976,19240,4,0,29824,45624,75448,0.5950637482790958,0.9103134539795287,1.5053772022586245,0.000385553,1.21495e-05,8.19461e-06,34.1392,49.1544,50.8647,38.1067875,0.000100338,1.15912e-05,8.0555e-06,39.9853,49.3587,50.9391,42.5262,0.0,4.204722635447979
RWT14,14,RWT14/mesh_P14.h5,50119,32768,1272,640,2456,8736,25952,4,0,39056,66000,105056,0.7792653484706399,1.3168658592549731,2.096131207725613,0.000663156,1.86384e-05,1.08958e-05,31.7838,47.2959,49.6274,35.9532625,0.000107279,1.44519e-05,9.29041e-06,39.6949,48.4008,50.3197,42.1112375,0.0,4.457513377070427
RWT14,15,RWT14/mesh_P15.h5,50119,32768,1168,656,2560,8768,24592,4,0,37744,60792,98536,0.7530876513896926,1.2129531714519444,1.9660408228416368,0.000665182,1.71158e-05,1.94737e-05,31.7706,47.666,47.1055,35.6743875,9.85841e-05,1.34827e-05,1.50349e-05,40.0619,48.7022,48.229,42.162825,0.0,4.378498375415802
RWT14,16,RWT14/mesh_P16.h5,50118,32768,1072,456,1776,6816,21312,4,0,31432,54064,85496,0.6271599026297937,1.0787341873179297,1.7058940899477233,0.000422582,1.57035e-05,1.02155e-05,33.7409,48.04,49.9074,37.5491,0.000112541,1.30741e-05,9.45516e-06,39.4869,48.8359,50.2433,42.000074999999995,0.0,4.399891994893551
RWT14,17,RWT14/mesh_P17.h5,50119,32768,920,344,1800,6192,17568,4,0,26824,38584,65408,0.5352062092220515,0.7698477623256649,1.3050539715477165,0.000296954,1.22035e-05,1.05505e-05,35.2731,49.1351,49.7673,38.817625,0.000106779,1.187e-05,1.02093e-05,39.7152,49.2555,49.91,42.182087499999994,0.0,4.197301618754864
RWT14,18,RWT14/mesh_P18.h5,50118,32768,1160,608,2136,7104,17976,4,0,28984,38368,67352,0.5783151761842052,0.7655532942256276,1.3438684704098327,0.000303817,1.30726e-05,1.18285e-05,35.1739,48.8364,49.2707,38.6438125,9.86004e-05,1.13464e-05,1.04031e-05,40.0612,49.4514,49.8284,42.455875,0.0,4.289342068135738
RWT14,19,RWT14/mesh_P19.h5,50119,32768,968,456,1864,5904,15312,4,0,24504,30776,55280,0.48891637901793733,0.6140585406731978,1.1029749196911351,0.000265459,1.18984e-05,1.01285e-05,35.76,49.2451,49.9445,39.2187,0.000100065,1.11226e-05,9.5565e-06,39.9972,49.5379,50.197,42.4647625,0.0,4.271478518843651
RWT14,2,RWT14/mesh_P2.h5,50118,32768,1272,480,1968,7168,22336,4,0,33224,61528,94752,0.6629155193742767,1.2276627159902629,1.8905782353645397,0.000571196,1.38272e-05,8.39174e-06,32.4321,48.5927,50.7615,36.74335,0.000114128,1.22352e-05,8.18656e-06,39.4261,49.1239,50.869,42.068687499999996,0.0,4.220736972987652
RWT14,20,RWT14/mesh_P20.h5,50118,32768,976,392,1664,5328,15568,4,0,23928,37264,61192,0.47743325751227106,0.7435252803384014,1.2209585378506724,0.000298586,1.39108e-05,8.65687e-06,35.2493,48.5665,50.6264,38.8360875,9.89776e-05,1.28521e-05,8.50678e-06,40.0446,48.9103,50.7023,42.485025,0.0,4.253260180354118
