dataset,sample,metric,ours_point,ours_bpp,ours_quality,official_interpolated_quality,delta_vs_official
CTC,Staue_Klimt_vox12,yuv_psnr_611,512,1.0155545771124364,29.842799999999997,30.011492849827246,-0.16869284982724864
CTC,Staue_Klimt_vox12,yuv_psnr_611,8k,1.9971660729295921,36.604600000000005,36.75559555157529,-0.150995551575285
CTC,Thaidancer_viewdep_vox12,y_psnr,16k,0.5217635210360949,41.1325,41.15692921072822,-0.024429210728222017
CTC,Thaidancer_viewdep_vox12,y_psnr,1k,0.14817384748331983,34.4032,34.546283028797916,-0.14308302879791768
CTC,Thaidancer_viewdep_vox12,y_psnr,2k,0.2272866240817324,36.9029,36.830888068673964,0.07201193132603834
CTC,Thaidancer_viewdep_vox12,y_psnr,4k,0.3101767769945515,38.634,38.658503544200926,-0.024503544200925376
CTC,Thaidancer_viewdep_vox12,y_psnr,512,0.10661759655486923,32.8887,32.8396827765433,0.04901722345670123
CTC,Thaidancer_viewdep_vox12,y_psnr,8k,0.3622677675495134,39.1388,39.258443514526824,-0.1196435145268211
CTC,Thaidancer_viewdep_vox12,yuv_psnr_611,16k,0.5217635210360949,42.198499999999996,42.18462684563078,0.013873154369214546
CTC,Thaidancer_viewdep_vox12,yuv_psnr_611,1k,0.14817384748331983,35.8970625,35.87702865598822,0.020033844011777546
CTC,Thaidancer_viewdep_vox12,yuv_psnr_611,2k,0.2272866240817324,38.095937500000005,38.14620697079245,-0.05026947079244337
CTC,Thaidancer_viewdep_vox12,yuv_psnr_611,4k,0.3101767769945515,39.8819375,39.81845571009352,0.06348178990648279
CTC,Thaidancer_viewdep_vox12,yuv_psnr_611,512,0.10661759655486923,34.55255,34.380133629116486,0.1724163708835107
CTC,Thaidancer_viewdep_vox12,yuv_psnr_611,8k,0.3622677675495134,40.2822875,40.37305868255999,-0.0907711825599904
CTC,basketball_player_vox11_00000200,y_psnr,16k,0.21191216312757347,42.079,41.88603877363112,0.19296122636887958
CTC,basketball_player_vox11_00000200,y_psnr,1k,0.045352714087165534,37.2209,37.13196480363282,0.08893519636718139
CTC,basketball_player_vox11_00000200,y_psnr,2k,0.06929654071045294,38.87,38.743835362253435,0.1261646377465624
CTC,basketball_player_vox11_00000200,y_psnr,4k,0.10157257835717073,39.8399,39.86378440518972,-0.023884405189718905
CTC,basketball_player_vox11_00000200,y_psnr,512,0.03484105699032717,36.0183,35.914321181569676,0.10397881843032764
CTC,basketball_player_vox11_00000200,y_psnr,8k,0.13178675610508103,40.5391,40.43717023595226,0.10192976404773901
CTC,basketball_player_vox11_00000200,yuv_psnr_611,16k,0.21191216312757347,43.4072875,43.218656709724065,0.188630790275937
CTC,basketball_player_vox11_00000200,yuv_psnr_611,1k,0.045352714087165534,39.2930375,39.16208157975894,0.13095592024105684
CTC,basketball_player_vox11_00000200,yuv_psnr_611,2k,0.06929654071045294,40.66833749999999,40.58185789818069,0.08647960181930614
CTC,basketball_player_vox11_00000200,yuv_psnr_611,4k,0.10157257835717073,41.450275000000005,41.51403034736843,-0.0637553473684278
CTC,basketball_player_vox11_00000200,yuv_psnr_611,512,0.03484105699032717,38.345575,38.1877008787141,0.15787412128590006
CTC,basketball_player_vox11_00000200,yuv_psnr_611,8k,0.13178675610508103,42.0795875,41.987093499613415,0.09249400038658706
CTC,boxer_viewdep_vox12,y_psnr,16k,0.19176630399775557,41.7515,41.77683700529959,-0.025337005299590487
CTC,boxer_viewdep_vox12,y_psnr,1k,0.08983921089810297,38.839,38.82565761843273,0.013342381567269967
CTC,boxer_viewdep_vox12,y_psnr,2k,0.1488128688537496,41.1147,40.575424096200436,0.5392759037995631
CTC,boxer_viewdep_vox12,y_psnr,4k,0.17366883428258975,40.8033,41.408499699435254,-0.6051996994352535
CTC,boxer_viewdep_vox12,y_psnr,512,0.07529161185599549,38.0058,38.0136,-0.007799999999996032
CTC,boxer_viewdep_vox12,y_psnr,8k,0.14451408998063317,40.3901,40.42463996448771,-0.03453996448771335
CTC,boxer_viewdep_vox12,yuv_psnr_611,16k,0.19176630399775557,44.0422625,44.05597052036265,-0.01370802036264962
CTC,boxer_viewdep_vox12,yuv_psnr_611,1k,0.08983921089810297,41.5509375,41.28552319654333,0.26541430345667294
CTC,boxer_viewdep_vox12,yuv_psnr_611,2k,0.1488128688537496,43.280474999999996,43.07191618969764,0.2085588103023568
CTC,boxer_viewdep_vox12,yuv_psnr_611,4k,0.17366883428258975,43.238625,43.65592296338499,-0.41729796338498915
CTC,boxer_viewdep_vox12,yuv_psnr_611,512,0.07529161185599549,40.8667,40.710112499999994,0.15658750000000765
CTC,boxer_viewdep_vox12,yuv_psnr_611,8k,0.14451408998063317,42.9608125,42.969163020702204,-0.008350520702201436
