dataset,sample,method,endpoint,operating_point,physical_bits,physical_bpp,Y,U,V,YUV611,reconstruction_sha256,result_set
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R09,418744,0.8380578793579634,27.0786,34.1739,35.8717,29.064650000000004,2834bdf1437fa91eea2c3f20d2436bbc3ef673961babb6d7efb668ad88598fd9,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,2276048,0.7271219389083498,43.1835,47.4841,46.2432,44.1035375,10443ccc7e0528c2043366867ec3d15ebfb5ad852ef4132708c68d9790baa10f,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,1757200,0.5613671904326061,41.6248,46.2027,45.1442,42.6369625,1d828a766acc537498d105c5bec49bfc8042be10131c56d8aa16ac5c0d86fbc7,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,1333584,0.4260359112712705,39.8607,44.603,43.6843,40.9314375,ef4b6162a3db55ef4888303226252801fdeb83ca96c533fd1fe927ae415433fc,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,981112,0.3134327833711103,38.7206,43.6602,43.0114,39.874399999999994,bcb66b5668cfe67ddb733276ad8ca4f3569599dcad227223985c2bf13f7b917b,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,738648,0.23597356731087163,37.0326,42.4981,42.1354,38.353637500000005,e1fd710c5911a52c7348c99f58d2e0bebb4e9b7ecf104fed0ed41317c7d30477,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,510960,0.16323479377614636,35.0507,40.543,39.6772,36.31555,f5e4bdc75b379d52d242ea1323a4325bdfa18f40c0857582d2827d8fdcd9ea82,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,365544,0.11677919887292088,33.3056,39.5365,39.0173,34.798424999999995,8010fbf40c8ee494a228207a2dd0f4142df7e4d6c93ed496d2b3e87fa6094ce9,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,261728,0.08361342591483333,31.5958,38.3737,38.1587,33.263400000000004,98475625216ec99b065484ebaeb7ab9adb11f8719662b6d70891a13eebb4759a,retained_formal
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,199032,0.06358413080251676,30.1173,37.0027,37.2029,31.863675,2a3657de59c14191851cb2cbdf5a2f4a56f53961d9231c3f150f3cd7479a5e42,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R01,944120,0.32271935803417795,43.2402,45.5515,50.2218,44.40181249999999,0b2fb6818a42d8a6c10511b7aea56086c745bb5a10f41decea198cb647dcc0b8,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R02,677680,0.2316447639628455,42.2078,45.0592,49.6573,43.4954125,1d572a7c2e4f9f1b5886b00ea176db0b68467760eadd040aa996514c1003f65c,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R03,466024,0.15929645183718144,40.8546,44.5264,48.9979,42.3314875,e4c6af76df05d655dc0d3ef0e33202c58acda2f71530c8f1f5a3bca466d308a9,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R04,258176,0.08824979131872211,39.5542,43.8856,48.8581,41.2586125,c9dbf78e70f8e159a3f6752f57cfd1507bff094d98bff49e038a6721c53f5096,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R05,187712,0.0641637674610342,38.4859,43.5956,48.4206,40.36645,4eadc2d50641df0a9b62d42ccab53c3a5dc78d4da9289a223d0ce6e11bae953f,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R06,135048,0.046162144498368494,37.2132,43.2233,47.3145,39.227125,8018ac8916dc0287dd1ee20b8042be5c581f2bf24e4fedd0084ad888db21d538,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R07,102960,0.03519381551412846,35.9674,43.0039,47.0288,38.229637499999995,8ee25123c59cc24517c72fd6e1e3e9584a3c9e3c3a4cd857e28ca22f7ad40d5b,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R08,80384,0.02747688098570029,34.6632,42.9728,46.6417,37.1992125,eeed4e5a295a9000c06a01a2f8041a22a7c6621c28fb03ad644453d394a0b5e9,retained_formal
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R09,67640,0.02312072340108439,33.4715,42.657,46.4266,36.239075,64ac31319807a817f448775889828a95be588264182c80e03ab76c5a969e41c3,retained_formal
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,859664,0.2461045179261312,42.8383,50.9594,51.2311,44.902537499999994,cd014ff1c93abf19c2ddbf53ed779af83615b354a41ef852a20550788db40834,retained_formal
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,663208,0.18986311526916752,41.7344,50.7383,51.0323,44.022125,a8ca582d36061b4e8479aa4c916c9b564ce9e2e3a29a1c08aee6d07814b3bbff,retained_formal
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,507280,0.14522406411524483,40.4362,50.471,50.7601,42.9810375,28257ff9ef5f4bc424b62d6ce1fbe7a641c837a596b273ed073b11c648e2de90,retained_formal
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,592632,0.16965862554160577,41.3231,49.4768,51.0643,43.5599625,b290da831b9def18380adc106b1acde6602c4635fb6dd3e343d217503eb78155,retained_formal
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,438832,0.12562877799996278,40.0943,49.7551,50.7178,42.629837499999994,e162b217b2db481f53a462f9321218314bf117f2c8e35fcda35e0a97d3b3656b,retained_formal
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,313256,0.08967889415802936,38.8189,47.6986,49.6149,41.27836249999999,558d2be977b4b1fc92bb76d6c2e6580e0c2ae338555aa61ad885eb8ff672c79e,retained_formal
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,263000,0.07529161185599549,38.0136,48.3673,49.232,40.710112499999994,5daf4754e4beeec72377a4ac643633dbd3a2160954147d4469f0e5c7e81d9841,retained_formal
