step,R_noise,D_F,D_Y,D_U,D_V,lambda_D,loss,gradient_norm,lr,points,step_seconds,peak_gpu_memory_gib,finite
1779,1.710572600364685,5.885857899556868e-05,5.742743087466806e-05,7.49599130358547e-05,4.84818265249487e-05,1.9286779165267944,3.6392505168914795,15.630105972290039,1e-05,254068,1.4977980852127075,10.665325164794922,True
1780,2.63500714302063,7.818242011126131e-05,7.240140985231847e-05,9.232477168552577e-05,8.716409502085298e-05,2.5618815422058105,5.1968889236450195,15.776053428649902,1e-05,278899,1.6775389462709427,10.665325164794922,True
1781,1.8409055471420288,5.3268533520167693e-05,6.0142581787658855e-05,3.906538404407911e-05,3.997550084022805e-05,1.745503306388855,3.586408853530884,13.291584014892578,1e-05,307055,1.6748242229223251,10.665325164794922,True
1782,1.207252025604248,4.2691739508882165e-05,5.229219823377207e-05,2.8142056180513464e-05,1.883959885162767e-05,1.3989229202270508,2.606174945831299,50.538997650146484,1e-05,288274,1.5670960992574692,10.665325164794922,True
1783,2.2722551822662354,6.029208088875748e-05,6.102758561610244e-05,9.021791629493237e-05,2.7424230211181566e-05,1.9756509065628052,4.24790620803833,17.964576721191406,1e-05,275109,1.6361904591321945,10.665325164794922,True
1784,0.9571311473846436,3.129485412500799e-05,3.899839430232532e-05,1.4489831301034428e-05,1.7285703506786376e-05,1.0254697799682617,1.9826009273529053,12.041681289672852,1e-05,281749,1.5480074360966682,10.665325164794922,True
1785,0.9810171723365784,3.077209839830175e-05,4.153852569288574e-05,9.236970072379336e-06,9.241511179425288e-06,1.0083401203155518,1.9893572330474854,10.582895278930664,1e-05,320234,1.6994552910327911,10.665325164794922,True
1786,1.2318739891052246,4.307955168769695e-05,5.8178204199066386e-05,1.2648147276195232e-05,1.3116358786646742e-05,1.4116307497024536,2.6435046195983887,6.65894079208374,1e-05,249428,1.4416368901729584,10.665325164794922,True
1787,1.1475642919540405,3.46901870216243e-05,4.4989930756855756e-05,1.9827213691314682e-05,8.35418268252397e-06,1.136728048324585,2.284292221069336,7.845968723297119,1e-05,255741,1.4737675040960312,10.665325164794922,True
1788,0.803112804889679,2.7010806661564857e-05,3.388588083907962e-05,1.3170528291084338e-05,1.3350779227039311e-05,0.8850901126861572,1.6882028579711914,14.748927116394043,1e-05,251230,1.4805031195282936,10.665325164794922,True
1789,0.6574528813362122,3.0379151212400757e-05,3.5720680898521096e-05,2.0348696125438437e-05,1.904348209791351e-05,0.995464026927948,1.6529169082641602,14.030536651611328,1e-05,306819,1.768454484641552,10.665325164794922,True
1790,0.9627751111984253,3.699562148540281e-05,3.964297866332345e-05,3.068842488573864e-05,3.271338573540561e-05,1.2122725248336792,2.1750476360321045,8.276495933532715,1e-05,263630,1.3529752641916275,10.665325164794922,True
1791,0.7402753233909607,2.403497819614131e-05,2.9000570066273212e-05,1.5545028873020783e-05,1.2662570952670649e-05,0.7875781655311584,1.5278534889221191,34.71815490722656,1e-05,312754,1.6186403334140778,10.665325164794922,True
