dataset,sample,operating_point,metric,delta_db,classification,enhancement_bits,delta_bpp,delta_Y,delta_U,delta_V,delta_YUV611
CTC,Shiva_00035_vox12,4k,V,-0.07270000000000465,negative,38400,0.03805250452864373,0.8994,-0.11610000000000298,-0.07270000000000465,0.6509500000000017
Owlii,exercise,512,V,-0.06990000000000407,negative,864,0.001339254574623902,0.10139999999999816,0.037599999999997635,-0.06990000000000407,0.07201249999999959
CTC,Staue_Klimt_vox12,32k,V,-0.05749999999999744,negative,426632,0.8538446143377496,3.8762000000000043,0.10890000000000555,-0.05749999999999744,2.9135750000000016
CTC,House_without_roof_00057_vox12,4k,V,-0.05439999999999401,negative,282280,0.05821712628731768,1.3912000000000049,-0.00269999999999726,-0.05439999999999401,1.0362624999999994
CTC,House_without_roof_00057_vox12,2k,V,-0.04779999999999518,negative,306296,0.06317016052607433,1.1513999999999989,-0.21000000000000085,-0.04779999999999518,0.8313249999999996
8iVFB,soldier,32k,V,-0.0409000000000006,negative,841032,0.7722329906316369,7.048700000000004,-0.08299999999999841,-0.0409000000000006,5.271037500000006
CTC,loot_viewdep_vox12,8k,V,-0.04019999999999868,negative,5584,0.0018506703874509867,-0.06709999999999638,-0.02559999999999718,-0.04019999999999868,-0.05855000000000388
Owlii,dancer,512,V,-0.03999999999999915,negative,3488,0.004968392024363402,0.7000999999999991,-0.013599999999996726,-0.03999999999999915,0.5183749999999989
Owlii,basketball_player,512,V,-0.03839999999999577,negative,1208,0.001517174338151503,0.1010999999999953,0.021500000000003183,-0.03839999999999577,0.07371250000000629
CTC,longdress_viewdep_vox12,32k,V,-0.02999999999999403,negative,1857000,0.5997825667076429,3.2650000000000006,0.027599999999999625,-0.02999999999999403,2.448449999999994
8iVFB,redandblack,512,V,-0.027499999999999858,negative,2208,0.002914116704566899,0.09710000000000463,0.20470000000000255,-0.027499999999999858,0.09497500000000514
Owlii,exercise,2k,V,-0.023299999999998988,negative,8480,0.013144535639827301,0.5714000000000041,0.012399999999999523,-0.023299999999998988,0.4271875000000094
CTC,House_without_roof_00057_vox12,512,V,-0.023099999999999454,negative,12440,0.002565612338863016,0.10400000000000276,0.10020000000000095,-0.023099999999999454,0.08763749999999959
Owlii,model,512,V,-0.02120000000000033,negative,4608,0.007005647999635101,0.3816000000000024,0.051400000000001,-0.02120000000000033,0.2899750000000054
CTC,Shiva_00035_vox12,16k,V,-0.020799999999994156,negative,180024,0.17839489779335072,1.8145000000000024,0.09949999999999903,-0.020799999999994156,1.3707125000000033
CTC,Facade_00009_vox12,8k,V,-0.020299999999998875,negative,51992,0.03257470623431691,0.22879999999999967,-0.018200000000000216,-0.020299999999998875,0.1667875000000052
CTC,boxer_viewdep_vox12,32k,V,-0.019599999999996953,negative,1115464,0.319334914552609,1.5138999999999996,-0.1501999999999981,-0.019599999999996953,1.1141999999999967
CTC,Facade_00009_vox12,16k,V,-0.017099999999999227,negative,119824,0.07507369594977686,0.521800000000006,-0.05409999999999826,-0.017099999999999227,0.38245000000001284
CTC,loot_viewdep_vox12,32k,V,-0.017099999999999227,negative,480856,0.1593671131497357,0.9913999999999987,-0.3868000000000009,-0.017099999999999227,0.6930625000000035
Owlii,exercise,1k,V,-0.013399999999997192,negative,3480,0.005394219814457403,0.3381000000000043,0.015699999999995384,-0.013399999999997192,0.253862500000011
8iVFB,loot,32k,V,-0.01279999999999859,negative,446544,0.5545167238927833,6.4133,0.008899999999997021,-0.01279999999999859,4.809487500000003
CTC,longdress_viewdep_vox12,1k,V,-0.011899999999997135,negative,2560,0.0008268408027848895,-0.04059999999999775,0.052199999999999136,-0.011899999999997135,-0.02541249999999451
CTC,boxer_viewdep_vox12,512,V,-0.007899999999999352,near_zero_negative,64,1.8321913151195246e-05,0.009199999999999875,0.4759000000000029,-0.007899999999999352,0.0653999999999968
CTC,Facade_00009_vox12,32k,V,-0.00730000000000075,near_zero_negative,1489016,0.9329177330781255,4.119099999999996,-0.17499999999999716,-0.00730000000000075,3.0665374999999955
CTC,dancer_vox11_00000001,1k,V,-0.005500000000004945,near_zero_negative,6720,0.0025918346409498985,0.15459999999999496,0.030400000000000205,-0.005500000000004945,0.1190624999999983
