dataset,sample,operating_point,base_bits,full_bits,enhancement_bits,base_bpp,full_bpp,delta_bpp,base_reconstruction_sha256,full_reconstruction_sha256,base_Y,full_Y,delta_Y,class_Y,base_U,full_U,delta_U,class_U,base_V,full_V,delta_V,class_V,base_YUV611,full_YUV611,delta_YUV611,class_YUV611
8iVFB,soldier,2k,185496,224208,38712,0.1703218555657883,0.2058670946688568,0.035545239103068504,9b07b7e72704be3a27070d62c8a15ad237fe0ae75c44676913846c5f322000ec,52d12380be18f77463148e4795aeca9f31d4ea35fb9e69f96fccf6cabb6b1641,34.5814,35.7074,1.1259999999999977,positive,48.2771,48.2975,0.020400000000002194,positive,49.0107,49.0144,0.003700000000002035,near_zero_positive,38.097025,38.9445375,0.8475125000000006,positive
8iVFB,soldier,4k,299152,306400,7248,0.2746804445174921,0.2813355357816748,0.006655091264182733,c9109104bce6d68bdfd8efe08a5392101cd860e5aff6db3f3f40e4d5609f1755,4e3d999e4dbd25f6dd7baa0f9f159ef38e5821968d770279b2b2bd5ad91c5f6e,37.1159,37.2169,0.10099999999999909,positive,47.3584,47.3335,-0.024900000000002365,negative,48.6007,48.3905,-0.2102000000000004,negative,39.831812500000005,39.878175,0.046362499999993645,positive
8iVFB,soldier,8k,246016,410648,164632,0.2258911330641792,0.3770557281255652,0.151164595061386,bbc71fb8353903a38db754b05758b1fe00bc8809a19cdf4902767b22db9520ac,9832328cf7b7ff2fff27948ce2e4236b28693859708c918b307776b8fa8e6ef2,36.0651,38.5452,2.4801,positive,47.7901,47.7095,-0.080600000000004,negative,48.886,48.8827,-0.0033000000000029672,near_zero_negative,39.1333375,40.982925,1.8495874999999984,positive
8iVFB,soldier,16k,328944,586128,257184,0.3020353671089009,0.538180923357185,0.23614555624828415,d93df3578a876a49f0d8b4fe087b4699b38b157c53892ebe97f4af62b7abe793,183f50c7e2dae95469506b7c496aa857e272bc2c5527605ae09f7151a21faa26,37.5321,40.5835,3.051400000000001,positive,49.0435,49.08,0.036499999999996646,positive,50.1629,50.2677,0.10479999999999734,positive,40.549875,42.8560875,2.306212500000001,positive
8iVFB,soldier,32k,428416,1269448,841032,0.3933702509707636,1.1656032416024005,0.7722329906316369,963ed4de1cc929f0ee6820e1a0986ecd0bd759edbae3f34626f5e8edbbfde1b0,2acc11c3471d733bd6be033f2ae1c12321e363b19f716bf38fce12907e070c94,38.7975,45.8462,7.048700000000004,positive,50.102,50.019,-0.08299999999999841,negative,51.219,51.1781,-0.0409000000000006,negative,41.76325,47.034287500000005,5.271037500000006,positive
CTC,Facade_00009_vox12,512,909688,911440,1752,0.5699495954162842,0.5710472813164712,0.0010976859001869954,1d731f42bc7243d41e6c932fdfff6f796d6c843d563c761c3ae24afc6a1ae77e,0423ea49da61c83623e918c2a887f373e017a42c2e2c99b6f3680b57bf4050e1,29.3384,29.4561,0.11769999999999925,positive,40.3512,40.1931,-0.15809999999999746,negative,38.753,38.7918,0.038800000000001944,positive,31.891825,31.965187500000003,0.07336250000000177,positive
CTC,Facade_00009_vox12,1k,1068480,1074720,6240,0.6694380311825499,0.673347597402394,0.003909566219844174,8eb6c5775af6476c5155f50b32c4cf1d9045107fcaeeadc3fee75f2a46a6b818,fbd036ffeec8dab1f0b5c044104e3947c00d405becb09fa398f45b5ad289cba0,30.0707,30.0617,-0.009000000000000341,near_zero_negative,40.8631,40.606,-0.2571000000000012,negative,38.8968,38.9562,0.05940000000000367,positive,32.5230125,32.49155,-0.0314625000000035,negative
CTC,Facade_00009_vox12,2k,1688864,1734040,45176,1.058129109665212,1.0864333666440071,0.02830425697879524,432dd681459d479e2dff0e135c27d2ec3ed1c0226a9f02924d497093ba15616f,d67ec8e81290e4ce3c4d93c0c16386131a5c111d7edd33cac2321d2fab1e168b,32.4007,32.7192,0.3185000000000002,positive,42.6437,41.9339,-0.7098000000000013,negative,39.9787,40.1036,0.12489999999999668,positive,34.628325000000004,34.7940875,0.1657624999999996,positive
CTC,Facade_00009_vox12,4k,2214616,2223416,8800,1.387530112744622,1.3930436035674791,0.0055134908228571256,c3d9c84e42973b26258601dc1431bfa1ad741ef2bd18f3e2ab44e520aa170261,4d4a96386180338cce011519771bd7231721803c2f464bf7713d52f495e75b0e,36.4049,36.5077,0.102800000000002,positive,44.0216,43.8687,-0.15290000000000248,negative,40.424,40.297,-0.12700000000000244,negative,37.85937499999999,37.9014875,0.04211250000000888,positive
CTC,Facade_00009_vox12,8k,1981912,2033904,51992,1.2417333663307406,1.2743080725650575,0.03257470623431691,43f010220818bf32a2abce270ac40a89d72f48a21387d868d48079d8ea30a2cb,4d16904172522c565aefbe8f177afb2cc94bfa8a020bcd2d4b3e6ca35beab2b9,35.6676,35.8964,0.22879999999999967,positive,43.4106,43.3924,-0.018200000000000216,negative,40.6364,40.6161,-0.020299999999998875,negative,37.256575,37.4233625,0.1667875000000052,positive
CTC,Facade_00009_vox12,16k,2529024,2648848,119824,1.5845171153165405,1.6595908112663174,0.07507369594977686,6e06e9b284912c8aa786445f55db71cc182ef5b938f8215a4d05a352d6dcedc3,43f0908380e479500e2b971d54a0198d5edb12e639d9d102cb6042858c75236a,37.3597,37.8815,0.521800000000006,positive,44.5148,44.4607,-0.05409999999999826,negative,41.3157,41.2986,-0.017099999999999227,negative,38.74858749999999,39.131037500000005,0.38245000000001284,positive
CTC,Facade_00009_vox12,32k,3210784,4699800,1489016,2.011662286156439,2.9445800192345644,0.9329177330781255,ff8566b48836b2c7f09cdf8a8c5bbdc6e8250b43767141a42bfd8c1a39684a78,eeaade6fa2db43af7d900d7bd4d822b1937f17b3d6c27d501bf9c84bf789f069,38.807,42.9261,4.119099999999996,positive,45.3018,45.1268,-0.17499999999999716,negative,41.7986,41.7913,-0.00730000000000075,near_zero_negative,39.9928,43.0593375,3.0665374999999955,positive
CTC,House_without_roof_00057_vox12,512,1042632,1055072,12440,0.2150313122261533,0.2175969245650163,0.002565612338863016,49b40f2f4e692bfae023ec2c6a62048869b701ee08f059963d95b0c9a9e9fac2,98bd1e8dc913e6fbb4a6903968404e820f1116f4c870c8d6a0004dc8200d334c,29.9656,30.0696,0.10400000000000276,positive,38.8591,38.9593,0.10020000000000095,positive,42.6442,42.6211,-0.023099999999999454,negative,32.6621125,32.74975,0.08763749999999959,positive
CTC,House_without_roof_00057_vox12,1k,1284888,1370496,85608,0.2649939314193673,0.2826496340805713,0.01765570266120403,323f5bd0fc1ade0c5f4560269d106bf7c6883094dfba8ecaa5e3b2ba109ac405,ad165d414336ebf77da8d94d82c3ae7f0540c5d1fd94298075b282b9bd3002e1,30.4925,30.9208,0.4283000000000001,positive,38.8139,38.954,0.1401000000000039,positive,42.8682,42.7642,-0.1039999999999992,negative,33.0796375,33.405375,0.32573750000000246,positive
