record_type,dataset,sequence,arm,step,profile,lambda,bpp,Y,U,V,YUV611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,bit_identity,hard_prefix_decode_used,baseline_point,baseline_bpp,baseline_YUV611,delta_bpp_vs_baseline,delta_YUV611_vs_baseline,official_interp_YUV611,official_bracket,delta_to_official_curve,baseline_official_interp_YUV611,baseline_delta_to_official_curve,rd_rescue_gain_vs_baseline
candidate_external,8ivfb,loot,2K-H-BS,250,8k256,2048,0.0851176912521653,35.8585,48.3707,48.5039,39.0032,11944.0,72.0,3872.0,14136.0,38520.0,True,True,2K,0.0851176912521653,39.0078875,0.0,-0.0046875000000028,38.84931441148972,R06_to_R05,0.1538855885102847,38.849314411489715,0.15857308851028762,-0.0046875000000029254
candidate_external,8ivfb,soldier,2K-H-BS,1000,8k256,2048,0.1408073338224262,33.7882,47.73,48.6892,37.393550000000005,17408.0,248.0,7776.0,30816.0,97104.0,True,True,2K,0.1408073338224262,37.390325,0.0,0.0032250000000075,37.27349084610185,R06_to_R05,0.1200591538981541,37.27349084610185,0.11683415389814655,0.0032250000000075413
candidate_external,8ivfb,soldier,2K-H-BS,500,8k256,2048,0.1408073338224262,33.7926,47.6922,48.6278,37.38445,17408.0,248.0,7776.0,30816.0,97104.0,True,True,2K,0.1408073338224262,37.390325,0.0,-0.005874999999996,37.27349084610185,R06_to_R05,0.1109591538981504,37.27349084610185,0.11683415389814655,-0.005874999999996147
candidate_external,8ivfb,soldier,2K-H-BS,1500,8k256,2048,0.1408073338224262,33.7912,47.7458,48.6973,37.398787500000005,17408.0,248.0,7776.0,30816.0,97104.0,True,True,2K,0.1408073338224262,37.390325,0.0,0.0084625000000073,37.27349084610185,R06_to_R05,0.1252966538981539,37.27349084610185,0.11683415389814655,0.00846250000000734
candidate_external,8ivfb,soldier,2K-H-BS,250,8k256,2048,0.1408073338224262,33.7887,47.6508,48.6464,37.378675,17408.0,248.0,7776.0,30816.0,97104.0,True,True,2K,0.1408073338224262,37.390325,0.0,-0.0116499999999959,37.27349084610185,R06_to_R05,0.1051841538981506,37.27349084610185,0.11683415389814655,-0.011649999999995955
candidate_external,8ivfb,redandblack,2K-H-BS,1000,8k256,2048,0.151882495634764,34.4945,39.746,32.6335,34.9183125,12648.0,272.0,7568.0,26136.0,68456.0,True,True,2K,0.151882495634764,34.7618875,0.0,0.1564249999999987,35.29283177309514,R07_to_R06,-0.3745192730951387,35.29283177309514,-0.5309442730951375,0.15642499999999876
candidate_external,8ivfb,redandblack,2K-H-BS,500,8k256,2048,0.151882495634764,34.5387,39.5992,32.6732,34.938075,12648.0,272.0,7568.0,26136.0,68456.0,True,True,2K,0.151882495634764,34.7618875,0.0,0.1761874999999975,35.29283177309514,R07_to_R06,-0.35475677309514,35.29283177309514,-0.5309442730951375,0.1761874999999975
candidate_external,8ivfb,redandblack,2K-H-BS,1500,8k256,2048,0.151882495634764,34.5215,39.6725,32.6786,34.935012500000006,12648.0,272.0,7568.0,26136.0,68456.0,True,True,2K,0.151882495634764,34.7618875,0.0,0.1731250000000059,35.29283177309514,R07_to_R06,-0.3578192730951315,35.29283177309514,-0.5309442730951375,0.17312500000000597
candidate_external,8ivfb,redandblack,2K-H-BS,250,8k256,2048,0.151882495634764,34.4408,39.6162,32.618,34.859875,12648.0,272.0,7568.0,26136.0,68456.0,True,True,2K,0.151882495634764,34.7618875,0.0,0.0979875000000021,35.29283177309514,R07_to_R06,-0.4329567730951353,35.29283177309514,-0.5309442730951375,0.09798750000000217
candidate_external,owlii,dancer,2K-H-PATH,1000,8k256,2048,0.114854181682473,35.1031,44.3682,46.0257,37.6265625,11144.0,568.0,5232.0,18392.0,45296.0,True,True,2K,0.0956415464689945,36.9456875,0.0192126352134784,0.6808750000000003,38.463344332398776,R07_to_R06,-0.8367818323987777,37.71816855233315,-0.7724810523331485,-0.06430078006562923
candidate_external,owlii,dancer,2K-H-PATH,500,8k256,2048,0.1156632546956147,35.1007,44.2679,46.0635,37.61695,11144.0,520.0,5256.0,18720.0,45560.0,True,True,2K,0.0956415464689945,36.9456875,0.0200217082266201,0.6712625000000045,38.49472480712277,R07_to_R06,-0.8777748071227691,37.71816855233315,-0.7724810523331485,-0.10529375478962066
candidate_external,owlii,dancer,2K-H-PATH,1500,8k256,2048,0.1160506981103587,35.0906,44.3428,46.1179,37.62553750000001,11144.0,608.0,5152.0,18320.0,46248.0,True,True,2K,0.0956415464689945,36.9456875,0.0204091516413641,0.679850000000009,38.509752076708914,R07_to_R06,-0.8842145767089065,37.71816855233315,-0.7724810523331485,-0.11173352437575801
candidate_external,owlii,dancer,2K-H-PATH,250,8k256,2048,0.1147060415533062,35.0817,44.0655,46.15,37.5882125,11144.0,544.0,5160.0,18392.0,45288.0,True,True,2K,0.0956415464689945,36.9456875,0.0190644950843116,0.6425249999999991,38.45759861167466,R07_to_R06,-0.8693861116746646,37.71816855233315,-0.7724810523331485,-0.09690505934151616
candidate_external,owlii,basketball_player,2K-H-PATH,1000,8k256,2048,0.0946375171592668,36.9415,43.9113,47.2611,39.102675,12176.0,360.0,5320.0,18664.0,38832.0,True,True,2K,0.0788629230473602,38.44345,0.0157745941119065,0.6592249999999993,39.37562959595186,R07_to_R06,-0.2729545959518589,38.59794210623486,-0.1544921062348621,-0.1184624897169968
candidate_external,owlii,basketball_player,2K-H-PATH,500,8k256,2048,0.095019322621848,36.9489,43.7897,47.2736,39.0945875,12176.0,320.0,5408.0,18840.0,38912.0,True,True,2K,0.0788629230473602,38.44345,0.0161563995744878,0.6511375000000044,39.39445260525711,R07_to_R06,-0.2998651052571048,38.59794210623486,-0.1544921062348621,-0.1453729990222427
candidate_external,owlii,basketball_player,2K-H-PATH,1500,8k256,2048,0.0954111755966024,36.9532,43.8619,47.4558,39.1296125,12176.0,432.0,5272.0,18288.0,39800.0,True,True,2K,0.0788629230473602,38.44345,0.0165482525492421,0.6861625000000018,39.4137709569125,R07_to_R06,-0.2841584569125004,38.59794210623486,-0.1544921062348621,-0.12966635067763832
candidate_external,owlii,basketball_player,2K-H-PATH,250,8k256,2048,0.0943662343305907,36.9211,43.6793,47.2906,39.0620625,12176.0,328.0,5208.0,18656.0,38768.0,True,True,2K,0.0788629230473602,38.44345,0.0155033112832305,0.6186125000000047,39.36225535249813,R07_to_R06,-0.300192852498121,38.59794210623486,-0.1544921062348621,-0.1457007462632589
candidate_external,owlii,exercise,2K-H-PATH,1000,8k256,2048,0.0709556914444263,36.5566,44.2205,47.2587,38.85235,8528.0,184.0,3872.0,12624.0,20568.0,True,True,2K,0.0614321033582118,38.46685,0.0095235880862145,0.3855000000000004,38.95765928526588,R07_to_R06,-0.105309285265875,38.54052612708968,-0.07367612708967641,-0.03163315817619859
candidate_external,owlii,exercise,2K-H-PATH,500,8k256,2048,0.0714269106466088,36.5624,44.0823,47.2339,38.836325,8528.0,192.0,3912.0,12832.0,20616.0,True,True,2K,0.0614321033582118,38.46685,0.009994807288397,0.3694750000000013,38.978298686321466,R07_to_R06,-0.1419736863214638,38.54052612708968,-0.07367612708967641,-0.06829755923178737
candidate_external,owlii,exercise,2K-H-PATH,1500,8k256,2048,0.071513714183853,36.5505,44.2365,47.3577,38.86215,8528.0,216.0,3760.0,12464.0,21168.0,True,True,2K,0.0614321033582118,38.46685,0.0100816108256411,0.3952999999999989,38.98210068125276,R07_to_R06,-0.1199506812527602,38.54052612708968,-0.07367612708967641,-0.04627455416308379
candidate_external,owlii,exercise,2K-H-PATH,250,8k256,2048,0.07145171165725,36.5759,44.0766,47.3143,38.8557875,8528.0,200.0,3832.0,12896.0,20640.0,True,True,2K,0.0614321033582118,38.46685,0.0100196082990382,0.3889374999999972,38.97938497058755,R07_to_R06,-0.1235974705875548,38.54052612708968,-0.07367612708967641,-0.049921343497878384
candidate_external,owlii,model,2K-H-PATH,1000,8k256,2048,0.1449901559091151,33.0494,42.7068,43.6396,35.58035,10376.0,424.0,4992.0,20984.0,58592.0,True,True,2K,0.1180135460771868,34.826425,0.0269766098319283,0.7539250000000024,35.96077377129096,R07_to_R06,-0.3804237712909568,35.13266031166297,-0.3062353116629666,-0.0741884596279902
candidate_external,owlii,model,2K-H-PATH,500,8k256,2048,0.1444550022424763,32.9974,42.6667,43.8667,35.564725,10376.0,440.0,5088.0,21008.0,58104.0,True,True,2K,0.1180135460771868,34.826425,0.0264414561652894,0.7383000000000024,35.946721671786314,R07_to_R06,-0.381996671786311,35.13266031166297,-0.3062353116629666,-0.07576136012334445
candidate_external,owlii,model,2K-H-PATH,1500,8k256,2048,0.1457563986590752,33.0613,42.7778,43.6264,35.5965,10376.0,512.0,4888.0,20808.0,59288.0,True,True,2K,0.1180135460771868,34.826425,0.0277428525818883,0.7700749999999985,35.980893822854426,R07_to_R06,-0.3843938228544274,35.13266031166297,-0.3062353116629666,-0.07815851119146083
candidate_external,owlii,model,2K-H-PATH,250,8k256,2048,0.1415116570759629,32.9302,42.6194,43.7107,35.4889125,10376.0,432.0,4960.0,20656.0,56656.0,True,True,2K,0.1180135460771868,34.826425,0.023498110998776,0.6624874999999975,35.86943512451077,R07_to_R06,-0.3805226245107747,35.13266031166297,-0.3062353116629666,-0.0742873128478081
candidate_external,8ivfb,longdress,2K-H-PATH,1000,8k256,2048,0.2653904700186254,29.0224,34.7013,32.5154,30.1688875,15632.0,624.0,12448.0,45248.0,153744.0,True,True,2K,0.2247268539778965,28.704200000000004,0.0406636160407289,1.4646874999999966,30.98287625103107,R07_to_R06,-0.8139887510310686,30.34807253419326,-1.6438725341932567,0.8298837831621881
candidate_external,8ivfb,longdress,2K-H-PATH,500,8k256,2048,0.2604671980008531,29.0007,34.6527,32.6773,30.166775,15632.0,664.0,12104.0,44608.0,150464.0,True,True,2K,0.2247268539778965,28.704200000000004,0.0357403440229566,1.4625749999999975,30.919953952433325,R07_to_R06,-0.7531789524333234,30.34807253419326,-1.6438725341932567,0.8906935817599333
candidate_external,8ivfb,longdress,2K-H-PATH,1500,8k256,2048,0.2651387117904439,29.0811,34.726,32.6539,30.2333125,15632.0,688.0,12368.0,45016.0,153776.0,True,True,2K,0.2247268539778965,28.704200000000004,0.0404118578125474,1.5291124999999963,30.97965863348914,R07_to_R06,-0.7463461334891406,30.34807253419326,-1.6438725341932567,0.8975264007041162
candidate_external,8ivfb,longdress,2K-H-PATH,250,8k256,2048,0.2545368930703547,28.9164,34.6631,32.5016,30.0828875,15632.0,656.0,11888.0,43720.0,146488.0,True,True,2K,0.2247268539778965,28.704200000000004,0.0298100390924582,1.3786874999999943,30.844161183667858,R07_to_R06,-0.7612736836678593,30.34807253419326,-1.6438725341932567,0.8825988505253974
candidate_external,8ivfb,loot,2K-H-PATH,1000,8k256,2048,0.1040227993815854,36.6174,49.1004,48.7953,39.7000125,11944.0,136.0,5064.0,18752.0,47872.0,True,True,2K,0.0851176912521653,39.0078875,0.0189051081294201,0.6921249999999972,39.542428685331394,R06_to_R05,0.1575838146686052,38.849314411489715,0.15857308851028762,-0.000989273841682431
candidate_external,8ivfb,loot,2K-H-PATH,500,8k256,2048,0.1055526925250066,36.6697,48.7817,48.5759,39.671975,11944.0,152.0,5168.0,19184.0,48552.0,True,True,2K,0.0851176912521653,39.0078875,0.0204350012728413,0.6640875000000008,39.59851885778101,R06_to_R05,0.0734561422189941,38.849314411489715,0.15857308851028762,-0.08511694629129352
candidate_external,8ivfb,loot,2K-H-PATH,1500,8k256,2048,0.1038837181867289,36.596,48.9358,48.7774,39.66115,11944.0,152.0,4992.0,18392.0,48176.0,True,True,2K,0.0851176912521653,39.0078875,0.0187660269345636,0.6532624999999967,39.537329578745066,R06_to_R05,0.1238204212549334,38.849314411489715,0.15857308851028762,-0.034752667255354225
candidate_external,8ivfb,loot,2K-H-PATH,250,8k256,2048,0.1056520362356184,36.652,48.7278,48.5061,39.643237500000005,11944.0,184.0,4936.0,18912.0,49104.0,True,True,2K,0.0851176912521653,39.0078875,0.0205343449834531,0.6353500000000025,39.60216107677124,R06_to_R05,0.0410764232287661,38.849314411489715,0.15857308851028762,-0.11749666528152153
candidate_external,8ivfb,soldier,2K-H-PATH,1000,8k256,2048,0.1736787834992668,34.632,48.3363,49.0101,38.1423,17408.0,368.0,9568.0,39160.0,122648.0,True,True,2K,0.1408073338224262,37.390325,0.0328714496768406,0.7519750000000016,38.135971974988735,R06_to_R05,0.006328025011264,37.27349084610185,0.11683415389814655,-0.11050612888688255
candidate_external,8ivfb,soldier,2K-H-PATH,500,8k256,2048,0.1737008202253071,34.6313,48.1051,48.8955,38.09855,17408.0,360.0,9672.0,39536.0,122200.0,True,True,2K,0.1408073338224262,37.390325,0.0328934864028809,0.7082250000000059,38.13655017462821,R06_to_R05,-0.038000174628209,37.27349084610185,0.11683415389814655,-0.15483432852635556
candidate_external,8ivfb,soldier,2K-H-PATH,1500,8k256,2048,0.1737816215541217,34.6507,48.2335,49.0536,38.1489125,17408.0,416.0,9536.0,38840.0,123064.0,True,True,2K,0.1408073338224262,37.390325,0.0329742877316955,0.7585875000000044,38.13867023997297,R06_to_R05,0.0102422600270344,37.27349084610185,0.11683415389814655,-0.10659189387111215
candidate_external,8ivfb,soldier,2K-H-PATH,250,8k256,2048,0.1703953113192561,34.5358,47.8583,48.8876,37.9950875,17408.0,384.0,9296.0,38568.0,119920.0,True,True,2K,0.1408073338224262,37.390325,0.0295879774968298,0.6047624999999996,38.04982022870663,R06_to_R05,-0.0547327287066323,37.27349084610185,0.11683415389814655,-0.17156688260477887
candidate_external,8ivfb,redandblack,2K-H-PATH,1000,8k256,2048,0.1688920681385947,35.7884,40.1813,31.6982,35.826237500000005,12648.0,352.0,9144.0,31640.0,74184.0,True,True,2K,0.151882495634764,34.7618875,0.0170095725038307,1.0643500000000046,35.5934721226997,R06_to_R05,0.2327653773003035,35.29283177309514,-0.5309442730951375,0.763709650395441
candidate_external,8ivfb,redandblack,2K-H-PATH,500,8k256,2048,0.1634544953021746,35.8812,40.3965,31.5426,35.9032875,12648.0,312.0,8936.0,31024.0,70928.0,True,True,2K,0.151882495634764,34.7618875,0.0115719996674105,1.1413999999999973,35.49948475506322,R06_to_R05,0.403802744936776,35.29283177309514,-0.5309442730951375,0.9347470180319135
candidate_external,8ivfb,redandblack,2K-H-PATH,1500,8k256,2048,0.1653022142271717,35.8657,40.2763,31.6216,35.886512499999995,12648.0,408.0,9088.0,31104.0,72000.0,True,True,2K,0.151882495634764,34.7618875,0.0134197185924077,1.1246249999999949,35.531422210085324,R06_to_R05,0.3550902899146706,35.29283177309514,-0.5309442730951375,0.8860345630098081
candidate_external,8ivfb,redandblack,2K-H-PATH,250,8k256,2048,0.1640879989336022,35.7388,40.0234,31.4356,35.736475,12648.0,328.0,8728.0,30728.0,71896.0,True,True,2K,0.151882495634764,34.7618875,0.0122055032988382,0.9745874999999984,35.51043473964223,R06_to_R05,0.2260402603577702,35.29283177309514,-0.5309442730951375,0.7569845334529077
candidate_external,owlii,dancer,4K-H-BS,1000,8k256,4096,0.120745600665491,34.7474,44.1147,46.7958,37.4243625,11144.0,528.0,5136.0,17528.0,50432.0,True,True,4K,0.120745600665491,37.3831625,0.0,0.0412000000000034,38.69184722581154,R07_to_R06,-1.267484725811542,38.69184722581154,-1.3086847258115455,0.041200000000003456
candidate_external,owlii,dancer,4K-H-BS,500,8k256,4096,0.120745600665491,34.7617,44.0848,46.7956,37.431325,11144.0,528.0,5136.0,17528.0,50432.0,True,True,4K,0.120745600665491,37.3831625,0.0,0.0481625000000036,38.69184722581154,R07_to_R06,-1.2605222258115418,38.69184722581154,-1.3086847258115455,0.04816250000000366
candidate_external,owlii,dancer,4K-H-BS,1500,8k256,4096,0.120745600665491,34.7494,44.1101,46.8086,37.4268875,11144.0,528.0,5136.0,17528.0,50432.0,True,True,4K,0.120745600665491,37.3831625,0.0,0.043725000000002,38.69184722581154,R07_to_R06,-1.2649597258115437,38.69184722581154,-1.3086847258115455,0.04372500000000179
candidate_external,owlii,dancer,4K-H-BS,250,8k256,4096,0.120745600665491,34.744,44.0743,46.7829,37.41515,11144.0,528.0,5136.0,17528.0,50432.0,True,True,4K,0.120745600665491,37.3831625,0.0,0.0319874999999996,38.69184722581154,R07_to_R06,-1.276697225811546,38.69184722581154,-1.3086847258115455,0.03198749999999939
candidate_external,owlii,basketball_player,4K-H-BS,1000,8k256,4096,0.1001033637814816,36.8276,43.9041,47.7407,39.0763,12176.0,368.0,5136.0,17504.0,44520.0,True,True,4K,0.1001033637814816,39.047925,0.0,0.028375000000004,39.64305661468096,R06_to_R05,-0.5667566146809548,39.64305661468096,-0.5951316146809589,0.028375000000004036
candidate_external,owlii,basketball_player,4K-H-BS,500,8k256,4096,0.1001033637814816,36.8451,43.8953,47.7319,39.087225,12176.0,368.0,5136.0,17504.0,44520.0,True,True,4K,0.1001033637814816,39.047925,0.0,0.0392999999999972,39.64305661468096,R06_to_R05,-0.5558316146809616,39.64305661468096,-0.5951316146809589,0.039299999999997226
candidate_external,owlii,basketball_player,4K-H-BS,1500,8k256,4096,0.1001033637814816,36.8227,43.9181,47.7682,39.07781249999999,12176.0,368.0,5136.0,17504.0,44520.0,True,True,4K,0.1001033637814816,39.047925,0.0,0.0298874999999938,39.64305661468096,R06_to_R05,-0.565244114680965,39.64305661468096,-0.5951316146809589,0.02988749999999385
candidate_external,owlii,basketball_player,4K-H-BS,250,8k256,4096,0.1001033637814816,36.8181,43.8909,47.7237,39.0654,12176.0,368.0,5136.0,17504.0,44520.0,True,True,4K,0.1001033637814816,39.047925,0.0,0.0174749999999974,39.64305661468096,R06_to_R05,-0.5776566146809614,39.64305661468096,-0.5951316146809589,0.017474999999997465
candidate_external,owlii,exercise,4K-H-BS,1000,8k256,4096,0.0829841816054004,36.7022,44.2201,47.6243,39.0072,8528.0,200.0,3728.0,12464.0,28616.0,True,True,4K,0.0829841816054004,38.9983,0.0,0.008899999999997,39.32798814180732,R06_to_R05,-0.3207881418073199,39.32798814180732,-0.329688141807317,0.008899999999997077
candidate_external,owlii,exercise,4K-H-BS,500,8k256,4096,0.0829841816054004,36.7111,44.2132,47.6124,39.011525,8528.0,200.0,3728.0,12464.0,28616.0,True,True,4K,0.0829841816054004,38.9983,0.0,0.0132249999999984,39.32798814180732,R06_to_R05,-0.3164631418073185,39.32798814180732,-0.329688141807317,0.013224999999998488
candidate_external,owlii,exercise,4K-H-BS,1500,8k256,4096,0.0829841816054004,36.7021,44.2416,47.6241,39.0097875,8528.0,200.0,3728.0,12464.0,28616.0,True,True,4K,0.0829841816054004,38.9983,0.0,0.0114875000000012,39.32798814180732,R06_to_R05,-0.3182006418073158,39.32798814180732,-0.329688141807317,0.011487500000001205
candidate_external,owlii,exercise,4K-H-BS,250,8k256,4096,0.0829841816054004,36.7084,44.2157,47.6037,39.008725,8528.0,200.0,3728.0,12464.0,28616.0,True,True,4K,0.0829841816054004,38.9983,0.0,0.0104249999999979,39.32798814180732,R06_to_R05,-0.3192631418073191,39.32798814180732,-0.329688141807317,0.010424999999997908
